"","",""
"Abies","fir","TN(Carter, Sevier)"
"Prunus mexicana","Mexican plum","TN(Cannon, Carroll, Davidson, Decatur, Dyer, Giles, Haywood, Humphreys, Lake, Lauderdale, Lawrence, Lewis, Marion, Maury, McNairy, Obion, Putnam, Rutherford, Shelby, Tipton, Wayne, Weakley, Williamson, Wilson)"
"Prunus munsoniana","wild goose plum","TN(Anderson, Blount, Cheatham, Coffee, Davidson, Grundy, Hickman, Lake, Marion, Maury, Montgomery, Roane, Robertson, Rutherford, Sevier, Shelby, Smith, Sumner, Wayne, Williamson)"
"Prunus pensylvanica","pin cherry","TN(Carter, Cocke, Greene, Johnson, Monroe, Sevier, Unicoi)"
"Prunus pensylvanica var. pensylvanica","pin cherry","TN(Carter, Cocke, Greene, Johnson, Monroe, Sevier, Unicoi)"
"Prunus persica","peach","TN(Benton, Blount, Claiborne, Davidson, Dyer, Fentress, Hancock, Hawkins, Humphreys, Knox, Lauderdale, Maury, Monroe, Montgomery, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Williamson)"
"Prunus persica var. persica","peach","TN(Benton, Blount, Claiborne, Davidson, Dyer, Fentress, Hancock, Hawkins, Humphreys, Knox, Lauderdale, Maury, Monroe, Montgomery, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Williamson)"
"Prunus pumila","sandcherry","TN(Coffee, Franklin)"
"Prunus pumila var. depressa","eastern sandcherry","TN(Coffee, Franklin)"
"Prunus serotina","black cherry","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Coffee, Crockett, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Grainger, Grundy, Hardin, Hawkins, Henderson, Henry, Hickman, Humphreys, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Madison, Marion, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Obion, Overton, Polk, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Wayne, Weakley, Williamson)"
"Prunus serotina var. serotina","black cherry","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Coffee, Crockett, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Grainger, Grundy, Hardin, Hawkins, Henderson, Henry, Hickman, Humphreys, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Madison, Marion, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Obion, Overton, Polk, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Wayne, Weakley, Williamson)"
"Prunus umbellata","hog plum","TN(Cannon, Cumberland, DeKalb, Hickman, Lewis, Marion, Rutherford, White)"
"Prunus umbellata var. umbellata","hog plum","TN(Cannon, Cumberland, DeKalb, Hickman, Lewis, Marion, Rutherford, White)"
"Prunus virginiana","chokecherry","TN(Blount, Greene, Johnson, Polk, Sevier)"
"Prunus virginiana var. virginiana","chokecherry","TN(Blount, Greene, Johnson, Polk, Sevier)"
"Pseudognaphalium","cudweed","TN(Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Coffee, Cumberland, Davidson, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Johnson, Knox, Lawrence, Lewis, Loudon, Marion, McMinn, Meigs, Monroe, Montgomery, Morgan, Obion, Perry, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Wayne, Williamson)"
"Pseudognaphalium helleri","Heller's cudweed","TN(Blount, Franklin, Grundy, Polk, Roane)"
"Pseudognaphalium helleri ssp. helleri","Heller's cudweed","TN(Blount, Franklin, Grundy, Polk, Roane)"
"Pseudognaphalium obtusifolium","rabbit-tobacco","TN(Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Coffee, Cumberland, Davidson, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Johnson, Knox, Lawrence, Lewis, Loudon, Marion, McMinn, Meigs, Monroe, Montgomery, Morgan, Obion, Perry, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Wayne, Williamson)"
"Pseudognaphalium obtusifolium ssp. obtusifolium","rabbit-tobacco","TN(Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Coffee, Cumberland, Davidson, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Johnson, Knox, Lawrence, Lewis, Loudon, Marion, McMinn, Meigs, Monroe, Montgomery, Morgan, Obion, Perry, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Wayne, Williamson)"
"Ptelea","hoptree","TN(Bedford, Cannon, Cheatham, Claiborne, Clay, Cumberland, Davidson, DeKalb, Decatur, Grainger, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lincoln, Loudon, Marshall, Maury, Montgomery, Morgan, Perry, Polk, Putnam, Roane, Robertson, Rutherford, Sevier, Smith, Stewart, Sumner, Washington, White, Wilson)"
"Ptelea trifoliata","common hoptree","TN(Bedford, Cannon, Cheatham, Claiborne, Clay, Cumberland, Davidson, DeKalb, Decatur, Grainger, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lincoln, Loudon, Marshall, Maury, Montgomery, Morgan, Perry, Polk, Putnam, Roane, Robertson, Rutherford, Sevier, Smith, Stewart, Sumner, Washington, White, Wilson)"
"Ptelea trifoliata ssp. trifoliata","common hoptree","TN(Bedford, Cannon, Cheatham, Claiborne, Clay, Cumberland, Davidson, DeKalb, Decatur, Grainger, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lincoln, Loudon, Marshall, Maury, Montgomery, Morgan, Perry, Polk, Putnam, Roane, Robertson, Rutherford, Sevier, Smith, Stewart, Sumner, Washington, White, Wilson)"
"Ptelea trifoliata ssp. trifoliata var. trifoliata","common hoptree","TN(Bedford, Cannon, Cheatham, Claiborne, Clay, Cumberland, Davidson, DeKalb, Decatur, Grainger, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lincoln, Loudon, Marshall, Maury, Montgomery, Morgan, Perry, Polk, Putnam, Roane, Robertson, Rutherford, Sevier, Smith, Stewart, Sumner, Washington, White, Wilson)"
"Pteridium","brackenfern","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Carroll, Carter, Cheatham, Chester, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Grainger, Greene, Grundy, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Johnson, Knox, Lawrence, Lewis, Lincoln, Loudon, Marion, Maury, McMinn, McNairy, Monroe, Montgomery, Morgan, Obion, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson)"
"Pteridium aquilinum","western brackenfern","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Carroll, Carter, Cheatham, Chester, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Grainger, Greene, Grundy, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Johnson, Knox, Lawrence, Lewis, Lincoln, Loudon, Marion, Maury, McMinn, McNairy, Monroe, Montgomery, Morgan, Obion, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson)"
"Ptilimnium","mock bishopweed","TN(Carroll, Cheatham, Chester, Coffee, Dyer, Fayette, Gibson, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henry, Humphreys, Lake, Lauderdale, Lawrence, Lewis, Madison, Marion, Marshall, Maury, McNairy, Perry, Robertson, Rutherford, Shelby, Stewart, Tipton, Warren)"
"Ptilimnium capillaceum","herbwilliam","TN(Carroll, Chester, Coffee, Fayette, Gibson, Giles, Grundy, Hardeman, Hardin, Haywood, Henry, Humphreys, Lake, Lauderdale, Madison, Marion, Maury, McNairy, Shelby, Stewart, Tipton)"
"Ptilimnium costatum","ribbed mock bishopweed","TN(Cheatham, Coffee, Hamilton, Lewis, Robertson, Stewart, Warren)"
"Ptilimnium nuttallii","laceflower","TN(Cheatham, Chester, Dyer, Hamilton, Henry, Lawrence, Marshall, Perry, Rutherford, Shelby, Stewart)"
"Pueraria","kudzu","TN(Anderson, Blount, Carter, Claiborne, Coffee, Davidson, Dickson, Fayette, Gibson, Giles, Greene, Hancock, Hardin, Haywood, Knox, Lincoln, Marion, McNairy, Montgomery, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Van Buren, Wayne, Williamson)"
"Pueraria montana","kudzu","TN(Anderson, Blount, Carter, Claiborne, Coffee, Davidson, Dickson, Fayette, Gibson, Giles, Greene, Hancock, Hardin, Haywood, Knox, Lincoln, Marion, McNairy, Montgomery, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Van Buren, Wayne, Williamson)"
"Pueraria montana var. lobata","kudzu","TN(Anderson, Blount, Carter, Claiborne, Coffee, Davidson, Dickson, Fayette, Gibson, Giles, Greene, Hancock, Hardin, Haywood, Knox, Lincoln, Marion, McNairy, Montgomery, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Van Buren, Wayne, Williamson)"
"Pycnanthemum","mountainmint","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lawrence, Lewis, Loudon, Macon, Madison, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Wayne, Weakley, White, Williamson, Wilson)"
"Pycnanthemum beadlei","Beadle's mountainmint","TN(Carter)"
"Pycnanthemum curvipes","stone mountainmint","TN(Cheatham, Davidson, Polk, Robertson, Williamson)"
"Pycnanthemum incanum","hoary mountainmint","TN(Robertson, Sumner)"
"Pycnanthemum incanum var. incanum","hoary mountainmint","TN(Robertson, Sumner)"
"Pycnanthemum loomisii","Loomis' mountainmint","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Giles, Grainger, Grundy, Hamblen, Hamilton, Hancock, Hardin, Hawkins, Henderson, Hickman, Humphreys, Jackson, Johnson, Knox, Lewis, Loudon, Macon, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Smith, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Wayne, Weakley, White, Williamson, Wilson)"
"Pycnanthemum montanum","thinleaf mountainmint","TN(Blount, Carter, Cocke, Greene, Johnson, Monroe, Polk, Sevier, Sullivan, Unicoi)"
"Pycnanthemum muticum","clustered mountainmint","TN(Bledsoe, Blount, Bradley, Cannon, Cocke, Coffee, Cumberland, Fentress, Franklin, Grundy, Hamilton, Johnson, Marion, Monroe, Moore, Morgan, Overton, Polk, Putnam, Rhea, Sequatchie, Shelby, Van Buren, Warren, White)"
"Pycnanthemum pycnanthemoides","southern mountainmint","TN(Blount, Carroll, Carter, Coffee, Davidson, Dickson, Franklin, Grainger, Grundy, Hamblen, Hamilton, Henry, Jefferson, Knox, Macon, Madison, Montgomery, Overton, Putnam, Rhea, Scott, Sevier, Stewart, Sumner, Unicoi, White, Williamson)"
"Pycnanthemum pycnanthemoides var. pycnanthemoides","southern mountainmint","TN(Blount, Carroll, Carter, Coffee, Davidson, Dickson, Franklin, Grainger, Grundy, Hamblen, Hamilton, Henry, Jefferson, Knox, Macon, Madison, Montgomery, Overton, Putnam, Rhea, Scott, Sevier, Stewart, Sumner, Unicoi, White, Williamson)"
"Pycnanthemum tenuifolium","narrowleaf mountainmint","TN(Anderson, Benton, Bledsoe, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Cocke, Coffee, Cumberland, Davidson, Dickson, Fentress, Franklin, Greene, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Knox, Lawrence, Lewis, McNairy, Meigs, Monroe, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Shelby, Stewart, Sumner, Unicoi, Union, Warren, Wayne, Weakley, Williamson, Wilson)"
"Pycnanthemum verticillatum","whorled mountainmint","TN(Anderson, Carroll, Dickson, Fentress, Hardin, Henderson, Henry, McNairy, Montgomery, Perry, Robertson, Stewart, Weakley)"
"Pycnanthemum verticillatum var. pilosum","whorled mountainmint","TN(Anderson, Carroll, Dickson, Hardin, Henderson, Henry, McNairy, Montgomery, Perry, Robertson, Stewart, Weakley)"
"Pycnanthemum virginianum","Virginia mountainmint","TN(Anderson, Cocke, Johnson, Knox, Loudon, Roane, Robertson)"
"Pyracantha","firethorn","TN(Davidson, Knox)"
"Pyracantha coccinea","scarlet firethorn","TN(Davidson, Knox)"
"Pyrola","wintergreen","TN(Johnson, Sullivan)"
"Pyrola americana","American wintergreen","TN(Johnson, Sullivan)"
"Pyrrhopappus","desert-chicory","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Carroll, Clay, Coffee, Cumberland, Davidson, Decatur, Dickson, Franklin, Grainger, Grundy, Hardin, Haywood, Henry, Houston, Jackson, Knox, Lake, Lauderdale, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Obion, Overton, Polk, Rhea, Roane, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Trousdale, Union, Van Buren, Wayne, White, Williamson, Wilson)"
"Pyrrhopappus carolinianus","Carolina desert-chicory","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Carroll, Clay, Coffee, Cumberland, Davidson, Decatur, Dickson, Franklin, Grainger, Grundy, Hardin, Haywood, Henry, Houston, Jackson, Knox, Lake, Lauderdale, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Obion, Overton, Polk, Rhea, Roane, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Trousdale, Union, Van Buren, Wayne, White, Williamson, Wilson)"
"Pyrularia","pyrularia","TN(Anderson, Blount, Campbell, Carter, Claiborne, Cocke, Cumberland, Fentress, Greene, Grundy, Hamilton, Jefferson, Johnson, Marion, McMinn, Monroe, Morgan, Pickett, Polk, Rhea, Roane, Scott, Sevier, Sullivan, Unicoi, Washington)"
"Pyrularia pubera","buffalo nut","TN(Anderson, Blount, Campbell, Carter, Claiborne, Cocke, Cumberland, Fentress, Greene, Grundy, Hamilton, Jefferson, Johnson, Marion, McMinn, Monroe, Morgan, Pickett, Polk, Rhea, Roane, Scott, Sevier, Sullivan, Unicoi, Washington)"
"Pyrus","pear","TN(Blount, Cheatham, Claiborne, Davidson, DeKalb, Dickson, Giles, Greene, Hamblen, Hardin, Henry, Jefferson, Knox, Lauderdale, Lincoln, Marion, Montgomery, Roane, Robertson, Rutherford, Shelby, Stewart, Sumner, Warren, Washington, Williamson)"
"Pyrus calleryana","Callery pear","TN(Cheatham, Claiborne, Davidson, DeKalb, Giles, Greene, Hamblen, Knox, Lincoln, Marion, Robertson, Rutherford, Shelby, Warren, Washington, Williamson)"
"Pyrus communis","common pear","TN(Blount, Davidson, Dickson, Hardin, Henry, Jefferson, Lauderdale, Montgomery, Roane, Shelby, Stewart, Sumner, Warren)"
"Quercus","oak","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Madison, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Quercus ×egglestonii","hybrid oak","TN(Rutherford)"
"Quercus alba","white oak","TN(Anderson, Benton, Blount, Campbell, Carter, Cheatham, Cocke, Coffee, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Grainger, Grundy, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Johnson, Knox, Lauderdale, Lawrence, Lewis, Loudon, Marion, Maury, McNairy, Monroe, Montgomery, Moore, Obion, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Wayne, Weakley, Williamson)"
"Quercus bicolor","swamp white oak","TN(Bedford, Blount, Campbell, Cheatham, Cumberland, Davidson, Dickson, Knox, Lake, Lincoln, Meigs, Montgomery, Putnam, Robertson, Rutherford, Scott, Sevier, Smith, Sumner)"
"Quercus coccinea","scarlet oak","TN(Anderson, Benton, Blount, Campbell, Carter, Clay, Coffee, Cumberland, Davidson, Dyer, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Humphreys, Jackson, Johnson, Knox, Lewis, Maury, Monroe, Montgomery, Obion, Polk, Putnam, Robertson, Scott, Sequatchie, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Washington, Wayne, White, Williamson, Wilson)"
"Quercus falcata","southern red oak","TN(Anderson, Benton, Blount, Campbell, Carroll, Carter, Cheatham, Cocke, Coffee, Crockett, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Grainger, Greene, Grundy, Hardeman, Hardin, Hawkins, Hickman, Humphreys, Knox, Lake, Lewis, Loudon, Macon, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Putnam, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Williamson)"
"Quercus imbricaria","shingle oak","TN(Bedford, Benton, Blount, Carroll, Cheatham, Clay, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Gibson, Giles, Hawkins, Henry, Lewis, Marshall, Maury, Montgomery, Robertson, Rutherford, Shelby, Smith, Stewart, Sullivan, Sumner, Warren, White, Williamson, Wilson)"
"Quercus lyrata","overcup oak","TN(Bedford, Benton, Carroll, Cheatham, Chester, Coffee, Crockett, Davidson, Decatur, Dickson, Dyer, Fayette, Franklin, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Humphreys, Knox, Lake, Lauderdale, Lawrence, Marion, Meigs, Montgomery, Obion, Overton, Perry, Putnam, Robertson, Rutherford, Shelby, Stewart, Tipton, Weakley, White)"
"Quercus macrocarpa","bur oak","TN(Bedford, Davidson, Dyer, Lake, Montgomery, Obion, Rutherford, Shelby, Stewart, Sumner, Williamson, Wilson)"
"Quercus macrocarpa var. macrocarpa","bur oak","TN(Bedford, Davidson, Dyer, Lake, Montgomery, Obion, Rutherford, Shelby, Stewart, Sumner, Williamson, Wilson)"
"Quercus margaretta","sand post oak","TN(Fayette)"
"Quercus marilandica","blackjack oak","TN(Benton, Bledsoe, Blount, Campbell, Cheatham, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardin, Hawkins, Haywood, Henry, Hickman, Jefferson, Knox, Lewis, Loudon, Madison, Marshall, McNairy, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Rhea, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Sumner, Union, Van Buren, Warren, Wayne, White, Williamson)"
"Quercus marilandica var. marilandica","blackjack oak","TN(Benton, Bledsoe, Blount, Campbell, Cheatham, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardin, Hawkins, Haywood, Henry, Hickman, Jefferson, Knox, Lewis, Loudon, Madison, Marshall, McNairy, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Rhea, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Sumner, Union, Van Buren, Warren, Wayne, White, Williamson)"
"Quercus michauxii","swamp chestnut oak","TN(Anderson, Bedford, Carroll, Carter, Chester, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Gibson, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Houston, Jefferson, Knox, Lake, Lincoln, Loudon, Macon, Madison, Marion, Marshall, Maury, McNairy, Meigs, Montgomery, Morgan, Obion, Putnam, Robertson, Rutherford, Sequatchie, Sevier, Shelby, Smith, Stewart, Tipton, Unicoi, Union, Wayne, Weakley)"
"Quercus montana","chestnut oak","TN(Benton, Blount, Campbell, Carter, Clay, Cumberland, Davidson, DeKalb, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Hickman, Houston, Knox, Lincoln, Macon, Marion, Marshall, Maury, McMinn, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Washington, Wayne, Williamson)"
"Quercus muehlenbergii","chinquapin oak","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Claiborne, Cocke, Coffee, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Grundy, Hamblen, Hardeman, Hardin, Hawkins, Henderson, Henry, Houston, Knox, Lauderdale, Lawrence, Lincoln, Madison, Marion, Maury, McNairy, Meigs, Monroe, Montgomery, Obion, Perry, Putnam, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Union, Van Buren, Warren, Washington, White, Williamson, Wilson)"
"Quercus nigra","water oak","TN(Benton, Carroll, Chester, Coffee, Decatur, Dyer, Fayette, Franklin, Gibson, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henry, Lauderdale, Lawrence, Lincoln, Madison, Marion, Obion, Perry, Sequatchie, Shelby, Stewart, Tipton, Warren, Weakley)"
"Quercus pagoda","cherrybark oak","TN(Benton, Carroll, Chester, Crockett, Fayette, Gibson, Giles, Grundy, Hamblen, Hardeman, Hardin, Haywood, Henry, Houston, Knox, Lake, Madison, Marion, McNairy, Montgomery, Obion, Sequatchie, Shelby, Stewart, Tipton, Weakley)"
"Quercus palustris","pin oak","TN(Bedford, Benton, Bledsoe, Campbell, Coffee, Davidson, DeKalb, Hardin, Haywood, Henry, Knox, Lake, Lincoln, Macon, Montgomery, Morgan, Obion, Overton, Putnam, Robertson, Rutherford, Scott, Stewart, White)"
"Quercus phellos","willow oak","TN(Benton, Bledsoe, Bradley, Campbell, Carroll, Chester, Coffee, Crockett, Davidson, Dickson, Dyer, Fayette, Franklin, Giles, Greene, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Haywood, Henry, Hickman, Humphreys, Knox, Lawrence, Lewis, Lincoln, Marion, Meigs, Montgomery, Morgan, Overton, Putnam, Rhea, Roane, Rutherford, Shelby, Stewart, Sumner, Tipton, Warren, Wayne, Weakley, White)"
"Quercus prinoides","dwarf chinquapin oak","TN(Bedford, Roane)"
"Quercus rubra","northern red oak","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardeman, Hawkins, Henry, Hickman, Humphreys, Knox, Lauderdale, Lewis, Lincoln, Loudon, Madison, McNairy, Monroe, Montgomery, Obion, Overton, Polk, Roane, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Warren, Wayne, Weakley, Williamson, Wilson)"
"Quercus rubra var. rubra","northern red oak","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardeman, Hawkins, Henry, Hickman, Humphreys, Knox, Lauderdale, Lewis, Lincoln, Loudon, Madison, McNairy, Monroe, Montgomery, Obion, Overton, Polk, Roane, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Warren, Wayne, Weakley, Williamson, Wilson)"
"Quercus shumardii","Shumard's oak","TN(Anderson, Bedford, Benton, Blount, Carroll, Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Franklin, Giles, Grainger, Hamblen, Hamilton, Hardin, Hawkins, Haywood, Henderson, Houston, Humphreys, Jackson, Knox, Lake, Lincoln, Loudon, Madison, Marion, Maury, McNairy, Meigs, Montgomery, Morgan, Obion, Overton, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sumner, Union, Warren, Wayne, Williamson, Wilson)"
"Quercus stellata","post oak","TN(Anderson, Benton, Blount, Campbell, Carroll, Carter, Cheatham, Clay, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Gibson, Grainger, Grundy, Hardin, Hawkins, Haywood, Henry, Hickman, Humphreys, Knox, Lincoln, Marion, Maury, Montgomery, Moore, Morgan, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Shelby, Smith, Stewart, Sumner, Tipton, Union, Washington, Weakley, White, Williamson, Wilson)"
"Quercus texana","Nuttall oak","TN(Davidson, Dyer, Gibson, Haywood, Lake, Lauderdale, Obion, Shelby)"
"Quercus velutina","black oak","TN(Anderson, Benton, Blount, Campbell, Carroll, Carter, Cocke, Coffee, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardeman, Hardin, Haywood, Hickman, Houston, Jefferson, Johnson, Knox, Loudon, Madison, Marion, Maury, McNairy, Monroe, Montgomery, Moore, Obion, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Wayne, White, Williamson)"
