"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Symphyotrichum puniceum","purplestem aster","WV(Barbour, Brooke, Cabell, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Tucker, Upshur, Webster)"
"Symphyotrichum puniceum var. puniceum","purplestem aster","WV(Barbour, Brooke, Cabell, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Tucker, Upshur, Webster)"
"Symphyotrichum racemosum","smooth white oldfield aster","WV(Barbour, Berkeley, Brooke, Cabell, Fayette, Greenbrier, Hampshire, Hardy, Kanawha, Logan, Mineral, Pocahontas, Preston, Taylor, Wirt)"
"Symphyotrichum shortii","Short's aster","WV(Brooke, Cabell, Fayette, Hampshire, Kanawha, Mineral, Monongalia, Monroe, Ohio, Putnam, Wetzel, Wirt)"
"Symphyotrichum undulatum","wavyleaf aster","WV(Barbour, Cabell, Calhoun, Fayette, Hampshire, Hancock, Hardy, Kanawha, Logan, Marion, Marshall, Mercer, Mineral, Monongalia, Morgan, Nicholas, Pendleton, Preston, Putnam, Raleigh, Randolph, Summers, Tucker, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Symphytum","comfrey","WV(Hampshire, Kanawha)"
"Symphytum officinale","common comfrey","WV(Hampshire, Kanawha)"
"Symplocarpus","skunk cabbage","WV(Barbour, Brooke, Grant, Hampshire, Hancock, Hardy, Mineral, Monongalia, Ohio, Pocahontas, Preston, Randolph, Summers)"
"Symplocarpus foetidus","skunk cabbage","WV(Barbour, Brooke, Grant, Hampshire, Hancock, Hardy, Mineral, Monongalia, Ohio, Pocahontas, Preston, Randolph, Summers)"
"Synandra","synandra","WV(Kanawha, Logan, Mingo, Monongalia, Ohio, Wayne)"
"Synandra hispidula","Guyandotte beauty","WV(Kanawha, Logan, Mingo, Monongalia, Ohio, Wayne)"
"Taenidia","taenidia","WV(Berkeley, Braxton, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Lewis, Lincoln, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Summers, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Taenidia integerrima","yellow pimpernel","WV(Berkeley, Braxton, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Lewis, Lincoln, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Summers, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Taenidia montana","mountain pimpernel","WV(Grant, Greenbrier, Hardy, Pendleton)"
"Tanacetum","tansy","WV(Calhoun, Hampshire, Hardy, Kanawha, Marshall, McDowell, Mineral, Monongalia, Preston, Randolph, Ritchie, Upshur, Wyoming)"
"Tanacetum parthenium","feverfew","WV(Hampshire, Kanawha, Monongalia, Ritchie, Wyoming)"
"Tanacetum vulgare","common tansy","WV(Calhoun, Hampshire, Hardy, Marshall, McDowell, Mineral, Monongalia, Preston, Randolph, Upshur, Wyoming)"
"Taraxacum","dandelion","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Taraxacum laevigatum","rock dandelion","WV(Braxton, Fayette, Hampshire, Harrison, Kanawha, Monongalia, Ohio, Raleigh, Wirt)"
"Taraxacum officinale","common dandelion","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Taraxacum officinale ssp. officinale","common dandelion","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Taxus","yew","WV(Berkeley, Greenbrier, Hancock, Mercer, Mineral, Pendleton, Pocahontas, Preston, Randolph, Summers, Tucker, Wetzel, Wyoming)"
"Taxus canadensis","Canada yew","WV(Berkeley, Greenbrier, Hancock, Mercer, Mineral, Pendleton, Pocahontas, Preston, Randolph, Summers, Tucker, Wetzel, Wyoming)"
"Tephrosia","hoarypea","WV(Berkeley, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Mercer, Mineral, Monongalia, Morgan, Nicholas, Pendleton, Pleasants, Preston, Ritchie, Summers, Tyler, Wayne, Wetzel, Wirt, Wood)"
"Tephrosia virginiana","Virginia tephrosia","WV(Berkeley, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Mercer, Mineral, Monongalia, Morgan, Nicholas, Pendleton, Pleasants, Preston, Ritchie, Summers, Tyler, Wayne, Wetzel, Wirt, Wood)"
"Tetragonia","tetragonia","WV(Ohio)"
"Tetragonia tetragonioides","New Zealand spinach","WV(Ohio)"
"Teucrium","germander","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Wayne, Wetzel, Wirt, Wyoming)"
"Teucrium botrys","cutleaf germander","WV(Pendleton)"
"Teucrium canadense","Canada germander","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Wayne, Wetzel, Wirt, Wyoming)"
"Teucrium canadense var. canadense","Canada germander","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Logan, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Wayne, Wetzel, Wirt, Wyoming)"
"Thalictrum","meadow-rue","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Thalictrum clavatum","mountain meadow-rue","WV(Fayette, Nicholas)"
"Thalictrum coriaceum","maid of the mist","WV(Barbour, Fayette, Hampshire, Kanawha, Mineral, Monongalia, Nicholas, Pocahontas, Raleigh, Upshur)"
"Thalictrum dioicum","early meadow-rue","WV(Berkeley, Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lincoln, Marion, McDowell, Mercer, Mingo, Monongalia, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Thalictrum pubescens","king of the meadow","WV(Barbour, Berkeley, Braxton, Brooke, Clay, Fayette, Grant, Hampshire, Hancock, Harrison, Kanawha, Marion, Marshall, Mineral, Monongalia, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel)"
"Thalictrum revolutum","waxyleaf meadow-rue","WV(Barbour, Braxton, Cabell, Fayette, Gilmer, Greenbrier, Hampshire, Mercer, Monongalia, Monroe, Pendleton, Pocahontas, Randolph, Tyler, Wayne, Wetzel, Wirt, Wyoming)"
"Thalictrum thalictroides","rue anemone","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Preston, Raleigh, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Thaspium","meadowparsnip","WV(Berkeley, Boone, Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Logan, Marion, Marshall, McDowell, Mineral, Mingo, Monongalia, Monroe, Ohio, Pendleton, Pocahontas, Raleigh, Ritchie, Summers, Tucker, Tyler, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Thaspium barbinode","hairyjoint meadowparsnip","WV(Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Jackson, Jefferson, Kanawha, Marion, Marshall, McDowell, Mineral, Monongalia, Ohio, Pendleton, Pocahontas, Summers, Tyler, Wayne, Wetzel, Wirt, Wyoming)"
"Thaspium trifoliatum","purple meadowparsnip","WV(Berkeley, Boone, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Jackson, Logan, Marion, McDowell, Mingo, Monongalia, Monroe, Raleigh, Ritchie, Summers, Tucker, Webster, Wetzel, Wirt, Wyoming)"
"Thaspium trifoliatum var. trifoliatum","purple meadowparsnip","WV(Berkeley, Boone, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Jackson, Logan, Marion, McDowell, Mingo, Monongalia, Monroe, Raleigh, Ritchie, Summers, Tucker, Webster, Wetzel, Wirt, Wyoming)"
"Thelypteris","maiden fern","WV(Barbour, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Lewis, Lincoln, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Thelypteris noveboracensis","New York fern","WV(Barbour, Braxton, Brooke, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Lincoln, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Thelypteris palustris","eastern marsh fern","WV(Braxton, Cabell, Gilmer, Hampshire, Jefferson, Lewis, Lincoln, Mercer, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Tyler, Upshur, Webster)"
"Thelypteris palustris var. pubescens","eastern marsh fern","WV(Braxton, Cabell, Gilmer, Hampshire, Jefferson, Lewis, Lincoln, Mercer, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Tyler, Upshur, Webster)"
"Thelypteris simulata","bog fern","WV(Preston, Tucker)"
"Thermopsis","goldenbanner","WV(Wyoming)"
"Thermopsis villosa","Aaron's rod","WV(Wyoming)"
"Thlaspi","pennycress","WV(Brooke, Hampshire, Hardy, Harrison, Jackson, Jefferson, Mason, Mineral, Monongalia, Morgan, Pocahontas, Preston, Raleigh, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wyoming)"
"Thlaspi arvense","field pennycress","WV(Brooke, Hampshire, Hardy, Harrison, Jackson, Jefferson, Mason, Mineral, Monongalia, Morgan, Pocahontas, Preston, Raleigh, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wyoming)"
"Thuja","arborvitae","WV(Berkeley, Grant, Greenbrier, Mercer, Pendleton, Summers)"
"Thuja occidentalis","arborvitae","WV(Berkeley, Grant, Greenbrier, Mercer, Pendleton, Summers)"
"Thymus","thyme","WV(Monongalia, Pendleton, Randolph, Upshur)"
"Thymus praecox","mother of thyme","WV(Monongalia, Pendleton, Randolph, Upshur)"
"Thymus praecox ssp. arcticus","creeping thyme","WV(Monongalia, Pendleton, Randolph, Upshur)"
"Tiarella","foamflower","WV(Barbour, Boone, Braxton, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Kanawha, Lincoln, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Pleasants, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Tiarella cordifolia","heartleaf foamflower","WV(Barbour, Boone, Braxton, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Kanawha, Lincoln, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Pleasants, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Tilia","basswood","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Tilia americana","American basswood","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Tilia americana var. americana","American basswood","WV(Berkeley, Boone, Braxton, Brooke, Clay, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Harrison, Jackson, Logan, Marion, Marshall, McDowell, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Ritchie, Summers, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Tilia americana var. heterophylla","American basswood","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Webster, Wirt, Wyoming)"
"Tipularia","tipularia","WV(Boone, Braxton, Calhoun, Fayette, Kanawha, McDowell, Mercer, Pocahontas, Upshur, Wayne)"
"Tipularia discolor","crippled cranefly","WV(Boone, Braxton, Calhoun, Fayette, Kanawha, McDowell, Mercer, Pocahontas, Upshur, Wayne)"
"Torreyochloa","false mannagrass","WV(Preston, Randolph, Tucker)"
"Torreyochloa pallida","pale false mannagrass","WV(Preston, Randolph, Tucker)"
"Torreyochloa pallida var. fernaldii","Fernald's false mannagrass","WV(Randolph, Tucker)"
"Torreyochloa pallida var. pallida","pale false mannagrass","WV(Preston, Tucker)"
"Toxicodendron","poison oak","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Kanawha, Marion, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Toxicodendron pubescens","Atlantic poison oak","WV(Kanawha)"
"Toxicodendron radicans","eastern poison ivy","WV(Berkeley, Cabell, Calhoun, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, Marion, Mercer, Monongalia, Monroe, Nicholas, Ohio, Pocahontas, Raleigh, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Toxicodendron rydbergii","western poison ivy","WV(Barbour, Braxton, Brooke, Fayette, Gilmer, Jackson, Upshur, Wood)"
"Toxicodendron vernix","poison sumac","WV(Mineral, Monongalia, Pocahontas, Preston, Randolph, Upshur)"
"Tradescantia","spiderwort","WV(Berkeley, Brooke, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, Marion, McDowell, Mercer, Mineral, Monroe, Morgan, Nicholas, Putnam, Raleigh, Summers, Tyler, Upshur, Wayne, Wirt, Wyoming)"
"Tradescantia ohiensis","bluejacket","WV(Fayette, Greenbrier, Kanawha, Mercer, Raleigh, Summers, Upshur)"
"Tradescantia subaspera","zigzag spiderwort","WV(Brooke, Fayette, Kanawha, McDowell, Putnam, Raleigh, Summers, Tyler, Wirt, Wyoming)"
"Tradescantia subaspera var. montana","zigzag spiderwort","WV(Fayette, Putnam, Raleigh, Wirt)"
"Tradescantia subaspera var. subaspera","zigzag spiderwort","WV(Brooke, Fayette, Kanawha, McDowell, Raleigh, Summers, Tyler, Wyoming)"
"Tradescantia virginiana","Virginia spiderwort","WV(Berkeley, Cabell, Fayette, Grant, Hampshire, Hardy, Jefferson, Kanawha, Marion, Mercer, Mineral, Monroe, Morgan, Nicholas, Summers, Wayne, Wirt)"
"Tragopogon","goatsbeard","WV(Berkeley, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Pendleton, Pocahontas, Putnam, Randolph, Ritchie, Summers, Tucker, Wirt, Wyoming)"
"Tragopogon dubius","yellow salsify","WV(Fayette, Hampshire, Hardy, Kanawha, Monroe, Pendleton, Putnam, Randolph, Tucker)"
"Tragopogon porrifolius","salsify","WV(Grant, Hampshire, Harrison, Jefferson, Mason, Mercer, Mineral, Monongalia, Wyoming)"
"Tragopogon pratensis","Jack-go-to-bed-at-noon","WV(Berkeley, Fayette, Greenbrier, Hardy, Jefferson, McDowell, Mineral, Monongalia, Monroe, Pendleton, Pocahontas, Ritchie, Summers, Wirt)"
"Trautvetteria","bugbane","WV(Barbour, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Marion, Monongalia, Nicholas, Pocahontas, Preston, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wyoming)"
"Trautvetteria caroliniensis","Carolina bugbane","WV(Barbour, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Marion, Monongalia, Nicholas, Pocahontas, Preston, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wyoming)"
"Trautvetteria caroliniensis var. caroliniensis","Carolina bugbane","WV(Barbour, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Marion, Monongalia, Nicholas, Pocahontas, Preston, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wyoming)"
"Triadenum","marsh St. Johnswort","WV(Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Mason, Mineral, Monongalia, Monroe, Pocahontas, Preston, Putnam, Raleigh, Tucker, Wayne)"
"Triadenum fraseri","Fraser's marsh St. Johnswort","WV(Fayette, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monongalia, Monroe, Pocahontas, Preston, Tucker)"
"Triadenum tubulosum","lesser marsh St. Johnswort","WV(Cabell, Mason, Putnam, Wayne)"
"Triadenum virginicum","Virginia marsh St. Johnswort","WV(Fayette, Pocahontas, Raleigh)"
"Triantha","false asphodel","WV(Pocahontas, Randolph)"
"Triantha glutinosa","sticky tofieldia","WV(Pocahontas, Randolph)"
"Trichomanes","bristle fern","WV(Kanawha, Pocahontas, Wayne, Webster)"
"Trichomanes boschianum","Appalachian bristle fern","WV(Kanawha, Pocahontas, Wayne, Webster)"
"Trichophorum","bulrush","WV(Hampshire, Jefferson, Pocahontas)"
"Trichophorum planifolium","bashful bulrush","WV(Hampshire, Jefferson, Pocahontas)"
"Trichostema","bluecurls","WV(Boone, Braxton, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Trichostema brachiatum","fluxweed","WV(Calhoun, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Marshall, Mineral, Monongalia, Monroe, Nicholas, Pendleton, Randolph, Ritchie, Summers, Wirt)"
"Trichostema dichotomum","forked bluecurls","WV(Boone, Braxton, Calhoun, Clay, Fayette, Hampshire, Hardy, Harrison, Kanawha, McDowell, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Raleigh, Randolph, Summers, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Trichostema setaceum","narrowleaf bluecurls","WV(Fayette, Hampshire, Morgan, Pendleton)"
"Tridens","tridens","WV(Berkeley, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, McDowell, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Randolph, Ritchie, Roane, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Tridens flavus","purpletop tridens","WV(Berkeley, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, McDowell, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Randolph, Ritchie, Roane, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Tridens flavus var. flavus","purpletop tridens","WV(Berkeley, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, McDowell, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Randolph, Ritchie, Roane, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Trientalis","starflower","WV(Grant, Hampshire, Hardy, Mercer, Mineral, Morgan, Pocahontas, Preston, Randolph, Summers, Upshur)"
"Trientalis borealis","starflower","WV(Grant, Hampshire, Hardy, Mercer, Mineral, Morgan, Pocahontas, Preston, Randolph, Summers, Upshur)"
"Trientalis borealis ssp. borealis","starflower","WV(Grant, Hampshire, Hardy, Mercer, Mineral, Morgan, Pocahontas, Preston, Randolph, Summers, Upshur)"
"Trifolium","clover","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Trifolium arvense","rabbitfoot clover","WV(Berkeley, Braxton, Fayette, Grant, Hampshire, Hardy, Jefferson, Kanawha, McDowell, Mineral, Monongalia, Morgan, Pendleton, Raleigh, Taylor, Wyoming)"
"Trifolium aureum","golden clover","WV(Barbour, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wyoming)"
"Trifolium campestre","field clover","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Trifolium dubium","suckling clover","WV(Mineral, Pocahontas)"
"Trifolium hybridum","alsike clover","WV(Barbour, Boone, Brooke, Calhoun, Clay, Doddridge, Fayette, Grant, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, Mercer, Monongalia, Morgan, Nicholas, Ohio, Pleasants, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Trifolium incarnatum","crimson clover","WV(Berkeley, Hampshire, Hardy, Monongalia, Morgan, Raleigh, Randolph, Summers, Upshur)"
"Trifolium pratense","red clover","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Trifolium reflexum","buffalo clover","WV(Calhoun, Mineral, Summers)"
"Trifolium repens","white clover","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Doddridge, Fayette, Grant, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Roane, Summers, Taylor, Tucker, Upshur, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Trifolium resupinatum","reversed clover","WV(Monongalia, Wood)"
"Trifolium stoloniferum","running buffalo clover","WV(Barbour, Fayette, Monongalia, Preston, Randolph, Tucker, Webster)"
"Trifolium virginicum","Kates Mountain clover","WV(Berkeley, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monroe, Morgan, Pendleton)"
