"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Sclerochloa","hardgrass","OK(Bryan, Cleveland, Murray, Payne, Tulsa)"
"Sclerochloa dura","common hardgrass","OK(Bryan, Cleveland, Murray, Payne, Tulsa)"
"Scleropogon","burrograss","OK(Cimarron)"
"Scleropogon brevifolius","burrograss","OK(Cimarron)"
"Scrophularia","figwort","OK(Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Osage, Pawnee, Stephens, Tulsa)"
"Scrophularia lanceolata","lanceleaf figwort","OK(Caddo, Canadian, Cleveland, Comanche)"
"Scrophularia marilandica","carpenter's square","OK(Bryan, Cherokee, Osage, Pawnee, Stephens, Tulsa)"
"Scutellaria","skullcap","OK(Atoka, Beaver, Beckham, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Greer, Harmon, Harper, Jackson, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Tillman, Tulsa, Wagoner, Washita, Woods, Woodward)"
"Scutellaria drummondii","Drummond's skullcap","OK(Beckham, Bryan, Carter, Comanche, Cotton, Greer, Harmon, Jackson, Johnston, Kingfisher, Kiowa, Logan, Marshall, Murray, Pontotoc, Woods)"
"Scutellaria drummondii var. edwardsiana","Drummond's skullcap","OK(Beckham, Bryan, Carter, Comanche, Cotton, Greer, Harmon, Jackson, Johnston, Kingfisher, Kiowa, Logan, Marshall, Murray, Pontotoc, Woods)"
"Scutellaria lateriflora","blue skullcap","OK(Bryan, Cherokee, Cleveland, Creek, Ellis, Garfield, McCurtain, Muskogee, Oklahoma, Osage, Ottawa)"
"Scutellaria lateriflora var. lateriflora","blue skullcap","OK(Bryan, Cherokee, Cleveland, Creek, Ellis, Garfield, McCurtain, Muskogee, Oklahoma, Osage, Ottawa)"
"Scutellaria ovata","heartleaf skullcap","OK(Atoka, Bryan, Caddo, Cherokee, Choctaw, Comanche, Delaware, Garvin, Latimer, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Ottawa, Pittsburg, Pushmataha, Sequoyah, Tulsa)"
"Scutellaria parvula","small skullcap","OK(Atoka, Bryan, Cherokee, Cleveland, Comanche, Creek, Delaware, Johnston, Latimer, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Pittsburg, Pottawatomie, Tulsa, Wagoner)"
"Scutellaria parvula var. australis","small skullcap","OK(Atoka, Bryan, Cherokee, Cleveland, Comanche, Creek, Delaware, Johnston, Latimer, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Pittsburg, Pottawatomie, Tulsa, Wagoner)"
"Scutellaria parvula var. missouriensis","Leonard's skullcap","OK(Delaware)"
"Scutellaria parvula var. parvula","small skullcap","OK(Bryan, Delaware)"
"Scutellaria resinosa","sticky skullcap","OK(Beaver, Beckham, Caddo, Comanche, Cotton, Dewey, Ellis, Greer, Harmon, Harper, Jackson, Roger Mills, Tillman, Woodward)"
"Scutellaria wrightii","Wright's skullcap","OK(Beckham, Carter, Cleveland, Comanche, Custer, Greer, Jackson, Kiowa, Murray, Roger Mills, Tillman, Washita, Woodward)"
"Securigera","crownvetch","OK(Grady, Le Flore)"
"Securigera varia","crownvetch","OK(Grady, Le Flore)"
"Sedum","stonecrop","OK(Atoka, Bryan, Cherokee, Choctaw, Cleveland, Comanche, Creek, Delaware, Dewey, Grady, Greer, Johnston, Kiowa, Lincoln, McCurtain, Murray, Muskogee, Nowata, Osage, Ottawa, Payne, Pontotoc, Pushmataha, Sequoyah, Tulsa, Washington)"
"Sedum nuttallianum","yellow stonecrop","OK(Atoka, Cherokee, Cleveland, Comanche, Creek, Delaware, Grady, Greer, Johnston, Kiowa, Lincoln, Muskogee, Osage, Payne, Pushmataha, Sequoyah, Tulsa, Washington)"
"Sedum pulchellum","widowscross","OK(Bryan, Cherokee, Choctaw, Dewey, Johnston, McCurtain, Murray, Muskogee, Nowata, Ottawa, Pontotoc, Sequoyah)"
"Selaginella","spikemoss","OK(Caddo, Canadian, Cimarron, Comanche, Creek, Greer, Jackson, Kiowa)"
"Selaginella densa","lesser spikemoss","OK(Cimarron)"
"Selaginella densa var. densa","lesser spikemoss","OK(Cimarron)"
"Selaginella peruviana","Peruvian spikemoss","OK(Caddo, Canadian, Cimarron, Comanche, Greer, Jackson, Kiowa)"
"Selaginella rupestris","northern selaginella","OK(Cimarron, Comanche, Creek, Kiowa)"
"Selaginella underwoodii","Underwood's spikemoss","OK(Cimarron)"
"Selenia","selenia","OK(Cherokee, Choctaw, Craig, Johnston, Mayes, McCurtain, Muskogee, Nowata, Osage, Ottawa, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Selenia aurea","golden selenia","OK(Cherokee, Choctaw, Craig, Johnston, Mayes, McCurtain, Muskogee, Nowata, Osage, Ottawa, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Selinocarpus","moonpod","OK(Harmon)"
"Selinocarpus diffusus","spreading moonpod","OK(Harmon)"
"Senecio","ragwort","OK(Alfalfa, Beckham, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Roger Mills, Texas, Woods, Woodward)"
"Senecio flaccidus","threadleaf ragwort","OK(Cimarron)"
"Senecio flaccidus var. flaccidus","threadleaf ragwort","OK(Cimarron)"
"Senecio riddellii","Riddell's ragwort","OK(Alfalfa, Beckham, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Roger Mills, Texas, Woods, Woodward)"
"Senna","senna","OK(Atoka, Bryan, Caddo, Carter, Choctaw, Comanche, Cotton, Jackson, Le Flore, McCurtain, Muskogee, Oklahoma, Ottawa, Payne, Tulsa, Woods, Woodward)"
"Senna marilandica","Maryland senna","OK(Atoka, Bryan, Caddo, Carter, Choctaw, Comanche, Cotton, Le Flore, McCurtain, Muskogee, Oklahoma, Ottawa, Payne, Tulsa, Woods, Woodward)"
"Senna roemeriana","twoleaf senna","OK(Jackson)"
"Sesbania","riverhemp","OK(Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Garfield, Grady, Grant, Haskell, Hughes, Johnston, Latimer, Le Flore, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Nowata, Okfuskee, Okmulgee, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tulsa, Wagoner)"
"Sesbania herbacea","bigpod sesbania","OK(Atoka, Bryan, Cherokee, Choctaw, Cleveland, Grady, Grant, Haskell, Latimer, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Nowata, Okfuskee, Okmulgee, Payne, Rogers, Sequoyah, Tulsa, Wagoner)"
"Sesbania vesicaria","bagpod","OK(Atoka, Bryan, Caddo, Carter, Choctaw, Cleveland, Garfield, Grady, Hughes, Johnston, Love, Marshall, McCurtain, Murray, Payne, Pittsburg, Pontotoc, Pottawatomie, Stephens)"
"Sesuvium","seapurslane","OK(Alfalfa, Cotton, Major, Woods)"
"Sesuvium verrucosum","verrucose seapurslane","OK(Alfalfa, Cotton, Major, Woods)"
"Setaria","bristlegrass","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cimarron, Cleveland, Comanche, Cotton, Craig, Custer, Delaware, Grady, Greer, Harmon, Harper, Haskell, Jackson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Roger Mills, Seminole, Sequoyah, Texas, Tillman, Washita, Woods)"
"Setaria faberi","Japanese bristlegrass","OK(Cherokee)"
"Setaria italica","foxtail millet","OK(Comanche, Marshall, McClain)"
"Setaria leucopila","streambed bristlegrass","OK(Cimarron, Cotton, Harmon, Jackson, Kiowa, Tillman)"
"Setaria parviflora","marsh bristlegrass","OK(Alfalfa, Beaver, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Cotton, Craig, Delaware, Grady, Greer, Harper, Haskell, Johnston, Kay, Latimer, Le Flore, Logan, Love, Marshall, McClain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Seminole, Woods)"
"Setaria reverchonii","Reverchon's bristlegrass","OK(Harmon, Jackson)"
"Setaria viridis","green bristlegrass","OK(Alfalfa, Beaver, Blaine, Bryan, Canadian, Carter, Cherokee, Cimarron, Cleveland, Comanche, Cotton, Custer, Delaware, Grady, Greer, Harmon, Johnston, Kay, Kingfisher, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Payne, Pottawatomie, Roger Mills, Sequoyah, Texas, Tillman, Washita, Woods)"
"Setaria viridis var. viridis","green bristlegrass","OK(Alfalfa, Beaver, Blaine, Bryan, Canadian, Carter, Cherokee, Cimarron, Cleveland, Comanche, Cotton, Custer, Delaware, Grady, Greer, Harmon, Johnston, Kay, Kingfisher, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Payne, Pottawatomie, Roger Mills, Sequoyah, Texas, Tillman, Washita, Woods)"
"Sherardia","sherardia","OK(Cleveland, Mayes)"
"Sherardia arvensis","blue fieldmadder","OK(Cleveland, Mayes)"
"Shinnersoseris","beaked skeletonweed","OK(Beaver, Cimarron, Major, Woods)"
"Shinnersoseris rostrata","beaked skeletonweed","OK(Beaver, Cimarron, Major, Woods)"
"Sibara","winged rockcress","OK(Adair, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Creek, Delaware, Garfield, Garvin, Grady, Grant, Jackson, Johnston, Kay, Kingfisher, Le Flore, Logan, Mayes, McCurtain, Murray, Oklahoma, Okmulgee, Ottawa, Payne, Pittsburg, Pottawatomie, Rogers, Tulsa, Woods)"
"Sibara virginica","Virginia winged rockcress","OK(Adair, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Creek, Delaware, Garfield, Garvin, Grady, Grant, Jackson, Johnston, Kay, Kingfisher, Le Flore, Logan, Mayes, McCurtain, Murray, Oklahoma, Okmulgee, Ottawa, Payne, Pittsburg, Pottawatomie, Rogers, Tulsa, Woods)"
"Sicyos","bur cucumber","OK(Adair, Canadian, Cherokee, Muskogee, Okmulgee, Ottawa, Sequoyah, Tulsa)"
"Sicyos angulatus","oneseed bur cucumber","OK(Adair, Canadian, Cherokee, Muskogee, Okmulgee, Ottawa, Sequoyah, Tulsa)"
"Sida","fanpetals","OK(Adair, Bryan, Cherokee, Cleveland, Comanche, Craig, Delaware, Kay, Latimer, Love, McCurtain, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Seminole, Sequoyah, Tulsa)"
"Sida spinosa","prickly fanpetals","OK(Adair, Bryan, Cherokee, Cleveland, Comanche, Craig, Delaware, Kay, Latimer, Love, McCurtain, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Seminole, Sequoyah, Tulsa)"
"Sideroxylon","bully","OK(Adair, Alfalfa, Atoka, Blaine, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Dewey, Garfield, Grady, Grant, Greer, Haskell, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Payne, Pontotoc, Pushmataha, Rogers, Sequoyah, Tulsa, Washington, Washita, Woods)"
"Sideroxylon lanuginosum","gum bully","OK(Adair, Alfalfa, Atoka, Blaine, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Dewey, Garfield, Grady, Grant, Greer, Haskell, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Payne, Pontotoc, Pushmataha, Rogers, Sequoyah, Tulsa, Washington, Washita, Woods)"
"Sideroxylon lanuginosum ssp. oblongifolium","gum bully","OK(Adair, Alfalfa, Atoka, Blaine, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Dewey, Garfield, Grady, Grant, Greer, Haskell, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Payne, Pontotoc, Pushmataha, Rogers, Sequoyah, Tulsa, Washington, Washita, Woods)"
"Silene","catchfly","OK(Adair, Alfalfa, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Creek, Delaware, Grady, Greer, Haskell, Hughes, Johnston, Kingfisher, Kiowa, Latimer, Logan, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Tulsa, Woods)"
"Silene antirrhina","sleepy silene","OK(Adair, Alfalfa, Blaine, Caddo, Carter, Cherokee, Cleveland, Comanche, Grady, Greer, Haskell, Hughes, Johnston, Kingfisher, Kiowa, Latimer, Logan, Marshall, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Sequoyah, Tulsa, Woods)"
"Silene noctiflora","nightflowering silene","OK(McCurtain)"
"Silene stellata","widowsfrill","OK(Bryan, Caddo, Cherokee, Cleveland, Creek, Delaware, Johnston, Latimer, McCurtain, Muskogee, Ottawa, Pushmataha, Tulsa)"
"Silphium","rosinweed","OK(Adair, Atoka, Blaine, Bryan, Canadian, Cherokee, Cleveland, Comanche, Custer, Delaware, Grady, Grant, Greer, Haskell, Kay, Kiowa, Le Flore, Logan, Major, Marshall, Mayes, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Stephens, Tulsa)"
"Silphium integrifolium","wholeleaf rosinweed","OK(Cleveland, Custer, Delaware, Grady, Kay, Le Flore, Logan, Mayes, Murray, Muskogee, Noble, Oklahoma, Ottawa, Stephens)"
"Silphium integrifolium var. laeve","wholeleaf rosinweed","OK(Delaware, Kay, Noble)"
"Silphium laciniatum","compassplant","OK(Atoka, Blaine, Bryan, Cleveland, Comanche, Delaware, Grady, Grant, Greer, Haskell, Kay, Major, Marshall, Mayes, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Tulsa)"
"Silphium perfoliatum","cup plant","OK(Adair, Cherokee, Delaware, Muskogee)"
"Silphium perfoliatum var. perfoliatum","cup plant","OK(Adair, Cherokee, Delaware, Muskogee)"
"Silphium radula","roughstem rosinweed","OK(Canadian, Comanche, Custer, Grady, Kiowa, Logan, Oklahoma, Ottawa, Payne)"
"Sinapis","mustard","OK(Carter, Cleveland, Coal, Garfield, Latimer, Logan, Marshall, Pushmataha, Rogers)"
"Sinapis arvensis","charlock mustard","OK(Carter, Cleveland, Coal, Garfield, Latimer, Logan, Marshall, Pushmataha, Rogers)"
"Sinapis arvensis ssp. arvensis","wild mustard","OK(Carter, Cleveland, Coal, Garfield, Latimer, Logan, Marshall, Pushmataha, Rogers)"
"Sisymbrium","hedgemustard","OK(Adair, Alfalfa, Canadian, Cleveland, Delaware, Garfield, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Muskogee, Oklahoma, Payne, Pushmataha)"
"Sisymbrium altissimum","tall tumblemustard","OK(Alfalfa, Canadian, Cleveland, Garfield, Kingfisher, Kiowa, Logan, Oklahoma, Payne)"
"Sisymbrium officinale","hedgemustard","OK(Adair, Delaware, Latimer, Le Flore, Muskogee, Oklahoma, Pushmataha)"
"Sisyrinchium","blue-eyed grass","OK(Adair, Atoka, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Grant, Greer, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Stephens, Tillman, Tulsa, Wagoner, Washington)"
"Sisyrinchium angustifolium","narrowleaf blue-eyed grass","OK(Adair, Atoka, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Greer, Jefferson, Kay, Kingfisher, Kiowa, Le Flore, Lincoln, Logan, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Stephens, Tillman, Tulsa, Wagoner)"
"Sisyrinchium campestre","prairie blue-eyed grass","OK(Adair, Bryan, Carter, Cherokee, Choctaw, Cleveland, Craig, Creek, Grady, Johnston, Kay, Le Flore, Lincoln, Love, Marshall, Mayes, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Sequoyah, Tulsa, Washington)"
"Sisyrinchium langloisii","roadside blue-eyed grass","OK(Custer, Garfield, Grant, Kingfisher, Kiowa, Tulsa)"
"Smallanthus","smallanthus","OK(Canadian, Cleveland, Oklahoma, Tulsa)"
"Smallanthus uvedalius","hairy leafcup","OK(Canadian, Cleveland, Oklahoma, Tulsa)"
"Smilax","greenbrier","OK(Adair, Alfalfa, Atoka, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Garfield, Garvin, Grady, Grant, Greer, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Nowata, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Stephens, Tulsa, Washington, Woods, Woodward)"
"Smilax bona-nox","saw greenbrier","OK(Adair, Atoka, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Garvin, Grady, Greer, Jefferson, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Pushmataha, Stephens, Tulsa)"
"Smilax bona-nox var. bona-nox","saw greenbrier","OK(Adair, Atoka, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Garvin, Grady, Greer, Jefferson, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Pushmataha, Stephens, Tulsa)"
"Smilax herbacea","smooth carrionflower","OK(Bryan, Cherokee, Delaware, Muskogee, Oklahoma, Tulsa)"
"Smilax tamnoides","bristly greenbrier","OK(Alfalfa, Bryan, Canadian, Cherokee, Cleveland, Comanche, Custer, Delaware, Garfield, Grady, Grant, Johnston, Kay, Kingfisher, Latimer, McClain, McCurtain, Murray, Noble, Nowata, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Stephens, Tulsa, Washington, Woods, Woodward)"
"Solanum","nightshade","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cimarron, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Nowata, Oklahoma, Okmulgee, Osage, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Washington, Washita, Woods, Woodward)"
"Solanum carolinense","Carolina horsenettle","OK(Blaine, Bryan, Carter, Choctaw, Cleveland, Craig, Creek, Delaware, Garvin, Haskell, Hughes, Kay, Latimer, Lincoln, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Sequoyah, Washington)"
"Solanum carolinense var. carolinense","Carolina horsenettle","OK(Blaine, Bryan, Carter, Choctaw, Cleveland, Craig, Creek, Delaware, Garvin, Haskell, Hughes, Kay, Latimer, Lincoln, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Sequoyah, Washington)"
"Solanum citrullifolium","watermelon nightshade","OK(Comanche)"
"Solanum citrullifolium var. citrullifolium","watermelon nightshade","OK(Comanche)"
"Solanum dimidiatum","western horsenettle","OK(Alfalfa, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cleveland, Comanche, Cotton, Craig, Custer, Garfield, Garvin, Grady, Grant, Greer, Hughes, Johnston, Kingfisher, Logan, Love, Marshall, McClain, Murray, Muskogee, Oklahoma, Okmulgee, Payne, Pontotoc, Pottawatomie, Tillman, Woods)"
"Solanum elaeagnifolium","silverleaf nightshade","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Canadian, Carter, Cimarron, Cleveland, Comanche, Cotton, Creek, Custer, Dewey, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Jefferson, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Major, Murray, Muskogee, Osage, Payne, Pittsburg, Pottawatomie, Roger Mills, Rogers, Texas, Tulsa, Woods, Woodward)"
"Solanum physalifolium","hoe nightshade","OK(Payne)"
"Solanum ptycanthum","West Indian nightshade","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Delaware, Ellis, Garvin, Grady, Kiowa, Latimer, Le Flore, Marshall, Murray, Muskogee, Oklahoma, Payne, Pittsburg, Pottawatomie, Pushmataha, Sequoyah, Tulsa, Woods)"
"Solanum rostratum","buffalobur nightshade","OK(Beaver, Beckham, Canadian, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Kay, Kingfisher, Latimer, Le Flore, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Oklahoma, Osage, Pawnee, Payne, Texas, Tillman, Washita, Woods)"
"Solanum triflorum","cutleaf nightshade","OK(Blaine, Cimarron)"
"Solidago","goldenrod","OK(Adair, Alfalfa, Beaver, Beckham, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Greer, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Solidago altissima","Canada goldenrod","OK(Bryan, Cleveland, Greer, Harper, Kingfisher, Latimer, Le Flore, Marshall, McClain, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Tulsa, Wagoner, Woods, Woodward)"
"Solidago gigantea","giant goldenrod","OK(Adair, Alfalfa, Bryan, Caddo, Canadian, Carter, Choctaw, Cimarron, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Jackson, Latimer, Logan, Marshall, McClain, Murray, Muskogee, Oklahoma, Pawnee, Payne, Pontotoc, Pottawatomie, Sequoyah, Stephens, Texas, Tulsa, Woods)"
"Solidago missouriensis","Missouri goldenrod","OK(Alfalfa, Beaver, Bryan, Carter, Choctaw, Cleveland, Comanche, Creek, Custer, Delaware, Garfield, Grady, Greer, Harper, Jefferson, Kay, Kingfisher, Kiowa, Latimer, Lincoln, Logan, Major, Mayes, McClain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Seminole, Stephens, Washita, Woods)"
"Solidago missouriensis var. fasciculata","Missouri goldenrod","OK(Alfalfa, Beaver, Bryan, Carter, Choctaw, Cleveland, Comanche, Creek, Custer, Delaware, Garfield, Grady, Greer, Harper, Jefferson, Kay, Kingfisher, Kiowa, Latimer, Lincoln, Logan, Major, Mayes, McClain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Seminole, Stephens, Washita, Woods)"
"Solidago mollis","velvety goldenrod","OK(Cimarron, Cleveland, Comanche, Custer, Harper, McCurtain, Woods)"
"Solidago nemoralis","gray goldenrod","OK(Adair, Beckham, Bryan, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Grady, Haskell, Le Flore, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Ottawa, Pawnee, Payne, Pottawatomie, Sequoyah, Tulsa, Wagoner, Washita, Woods)"
"Solidago petiolaris","downy ragged goldenrod","OK(Adair, Canadian, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Harper, Jackson, Logan, Major, Mayes, Murray, Oklahoma, Ottawa, Payne, Roger Mills, Seminole, Wagoner, Woods)"
"Solidago petiolaris var. angusta","downy ragged goldenrod","OK(Adair, Canadian, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Harper, Jackson, Logan, Major, Mayes, Murray, Oklahoma, Ottawa, Payne, Roger Mills, Seminole, Wagoner, Woods)"
"Solidago speciosa","showy goldenrod","OK(Alfalfa, Cleveland, Comanche, Creek, Custer, Delaware, Johnston, Mayes, Muskogee, Oklahoma, Payne, Rogers, Wagoner)"
"Solidago ulmifolia","elmleaf goldenrod","OK(Adair, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Creek, Delaware, Hughes, Kay, Latimer, Le Flore, Lincoln, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pittsburg, Pontotoc, Pushmataha, Sequoyah, Tulsa, Washington)"
"Solidago velutina","threenerve goldenrod","OK(Cimarron)"
"Sonchus","sowthistle","OK(Adair, Beaver, Bryan, Caddo, Cleveland, Grady, Harmon, Hughes, Kay, Kiowa, Le Flore, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Payne, Pittsburg, Pottawatomie)"
"Sonchus asper","spiny sowthistle","OK(Adair, Beaver, Bryan, Caddo, Cleveland, Grady, Harmon, Hughes, Kay, Kiowa, Le Flore, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Payne, Pittsburg, Pottawatomie)"
"Sonchus oleraceus","common sowthistle","OK(Muskogee)"
"Sophora","necklacepod","OK(Alfalfa, Beaver, Blaine, Cimarron, Custer, Dewey, Ellis, Grady, Greer, Harper, Jackson, Kay, Kingfisher, Logan, Major, McClain, Oklahoma, Payne, Roger Mills, Texas, Woods, Woodward)"
