"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Populus deltoides ssp. monilifera","plains cottonwood","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Wells, Williams)"
"Populus tremuloides","quaking aspen","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Kidder, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Portulaca","purslane","ND(Barnes, Billings, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Grant, Kidder, LaMoure, Mountrail, Pembina, Pierce, Ransom, Richland, Sargent, Slope, Steele, Stutsman, Ward, Williams)"
"Portulaca oleracea","little hogweed","ND(Barnes, Billings, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Grant, Kidder, LaMoure, Mountrail, Pembina, Pierce, Ransom, Richland, Sargent, Slope, Steele, Stutsman, Ward, Williams)"
"Potamogeton","pondweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Slope, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Potamogeton amplifolius","largeleaf pondweed","ND(Ransom)"
"Potamogeton foliosus","leafy pondweed","ND(Barnes, Cass, Dickey, Emmons, Foster, Grand Forks, Hettinger, Mercer, Nelson, Oliver, Pembina, Ransom, Sargent, Stutsman, Walsh)"
"Potamogeton foliosus ssp. foliosus","leafy pondweed","ND(Barnes, Cass, Dickey, Emmons, Foster, Grand Forks, Hettinger, Mercer, Nelson, Oliver, Pembina, Ransom, Sargent, Stutsman, Walsh)"
"Potamogeton friesii","Fries' pondweed","ND(Benson, Billings, Bottineau, Cass, Golden Valley, Richland, Rolette, Sargent)"
"Potamogeton gramineus","variableleaf pondweed","ND(Burke, Cavalier, Divide, Logan, Mountrail, Pierce, Rolette, Stutsman, Walsh, Ward, Wells, Williams)"
"Potamogeton natans","floating pondweed","ND(Bottineau, Rolette)"
"Potamogeton nodosus","longleaf pondweed","ND(Billings, Grand Forks, Morton, Ransom, Richland, Walsh)"
"Potamogeton praelongus","whitestem pondweed","ND(Bottineau, Ward)"
"Potamogeton pusillus","small pondweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, LaMoure, Logan, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Slope, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Potamogeton pusillus ssp. pusillus","small pondweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, LaMoure, Logan, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Slope, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Potamogeton pusillus ssp. tenuissimus","small pondweed","ND(Stutsman)"
"Potamogeton richardsonii","Richardson's pondweed","ND(Barnes, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Pierce, Ransom, Richland, Rolette, Slope, Steele, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
"Potamogeton spirillus","spiral pondweed","ND(Emmons)"
"Potamogeton strictifolius","narrowleaf pondweed","ND(Bottineau, McHenry)"
"Potamogeton zosteriformis","flatstem pondweed","ND(Barnes, Bottineau, Cass, McKenzie, Mercer, Morton, Ransom, Richland, Rolette, Slope, Towner, Williams)"
"Potentilla","cinquefoil","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Potentilla argentea","silver cinquefoil","ND(Barnes, Nelson, Pembina, Stark, Ward)"
"Potentilla argentea var. argentea","silver cinquefoil","ND(Barnes, Nelson, Pembina, Stark, Ward)"
"Potentilla arguta","tall cinquefoil","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Potentilla arguta ssp. arguta","tall cinquefoil","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Potentilla concinna","elegant cinquefoil","ND(Benson, Billings, Bottineau, Bowman, Burke, Divide, Dunn, Eddy, Foster, Golden Valley, Griggs, McHenry, Mercer, Mountrail, Rolette, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Potentilla concinna var. concinna","elegant cinquefoil","ND(Benson, Billings, Bottineau, Bowman, Burke, Divide, Dunn, Eddy, Foster, Golden Valley, Griggs, McHenry, Mercer, Mountrail, Rolette, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Potentilla diversifolia","varileaf cinquefoil","ND(Billings, Slope)"
"Potentilla diversifolia var. perdissecta","mountainmeadow cinquefoil","ND(Billings, Slope)"
"Potentilla gracilis","slender cinquefoil","ND(Benson, Billings, Bottineau, Burke, Divide, Dunn, Golden Valley, Grand Forks, Grant, Logan, McIntosh, McKenzie, Mountrail, Oliver, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Potentilla gracilis var. fastigiata","slender cinquefoil","ND(Benson, Billings, Bottineau, Burke, Divide, Dunn, Golden Valley, Grand Forks, Grant, Logan, McIntosh, McKenzie, Mountrail, Oliver, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Potentilla hippiana","woolly cinquefoil","ND(Barnes, Billings, Bottineau, Burke, Dickey, Divide, Grand Forks, Kidder, Mercer, Mountrail, Nelson, Renville, Richland, Rolette, Slope, Stark, Stutsman, Ward, Williams)"
"Potentilla norvegica","Norwegian cinquefoil","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Towner, Walsh, Ward, Williams)"
"Potentilla norvegica ssp. monspeliensis","Norwegian cinquefoil","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Towner, Walsh, Ward, Williams)"
"Potentilla paradoxa","Paradox cinquefoil","ND(Barnes, Benson, Bottineau, Burke, Cass, Divide, Emmons, Foster, LaMoure, Morton, Ramsey, Richland, Sargent, Sheridan, Steele, Stutsman, Towner, Ward, Williams)"
"Potentilla pensylvanica","Pennsylvania cinquefoil","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Potentilla pensylvanica var. pensylvanica","Pennsylvania cinquefoil","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Potentilla plattensis","Platte River cinquefoil","ND(Burke, Divide, Mountrail, Williams)"
"Potentilla rivalis","brook cinquefoil","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Divide, Emmons, Foster, Griggs, Kidder, LaMoure, Logan, McHenry, Mountrail, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Ward, Williams)"
"Prenanthes","rattlesnakeroot","ND(Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Eddy, Grand Forks, Griggs, LaMoure, Logan, McHenry, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Ward)"
"Prenanthes alba","white rattlesnakeroot","ND(Barnes, Bottineau, Cass, Cavalier, Grand Forks, Pembina, Ransom, Richland, Steele)"
"Prenanthes racemosa","purple rattlesnakeroot","ND(Barnes, Benson, Bottineau, Burke, Cass, Eddy, Griggs, LaMoure, Logan, McHenry, Pierce, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Ward)"
"Prenanthes racemosa var. multiflora","purple rattlesnakeroot","ND(Barnes, Benson, Bottineau, Burke, Cass, Eddy, Griggs, LaMoure, Logan, McHenry, Pierce, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Ward)"
"Primula","primrose","ND(Burke, Mountrail)"
"Primula incana","silvery primrose","ND(Burke, Mountrail)"
"Prosartes","fairybells","ND(Billings, Bottineau, Burke, Dunn, Golden Valley, McLean, Morton, Mountrail, Oliver, Pembina, Rolette, Sheridan, Slope, Stark, Ward, Wells, Williams)"
"Prosartes trachycarpa","roughfruit fairybells","ND(Billings, Bottineau, Burke, Dunn, Golden Valley, McLean, Morton, Mountrail, Oliver, Pembina, Rolette, Sheridan, Slope, Stark, Ward, Wells, Williams)"
"Prunella","selfheal","ND(Barnes, Benson, Cass, Mountrail, Pembina, Ransom, Stutsman)"
"Prunella vulgaris","common selfheal","ND(Barnes, Benson, Cass, Mountrail, Pembina, Ransom, Stutsman)"
"Prunella vulgaris ssp. lanceolata","lance selfheal","ND(Barnes, Benson, Cass, Mountrail, Pembina, Ransom, Stutsman)"
"Prunus","plum","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Prunus americana","American plum","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Prunus pensylvanica","pin cherry","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, McKenzie, Morton, Mountrail, Nelson, Oliver, Pembina, Ransom, Rolette, Ward, Williams)"
"Prunus pensylvanica var. pensylvanica","pin cherry","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, McKenzie, Morton, Mountrail, Nelson, Oliver, Pembina, Ransom, Rolette, Ward, Williams)"
"Prunus pumila","sandcherry","ND(Adams, Barnes, Billings, Bowman, Burke, Cass, Dunn, Emmons, Golden Valley, Grant, Hettinger, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Ransom, Richland, Sargent, Slope, Stark, Williams)"
"Prunus pumila var. besseyi","western sandcherry","ND(Adams, Barnes, Billings, Bowman, Burke, Cass, Dunn, Emmons, Golden Valley, Grant, Hettinger, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Ransom, Richland, Sargent, Slope, Stark, Williams)"
"Prunus serotina","black cherry","ND(Cass, Nelson)"
"Prunus serotina var. serotina","black cherry","ND(Cass, Nelson)"
"Prunus virginiana","chokecherry","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Psathyrostachys","wildrye","ND(Sargent)"
"Psathyrostachys juncea","Russian wildrye","ND(Sargent)"
"Pseudolysimachion","speedwell","ND(McHenry)"
"Pseudolysimachion longifolium","longleaf speedwell","ND(McHenry)"
"Pseudoroegneria","wheatgrass","ND(Billings, Golden Valley, Mountrail, Slope, Williams)"
"Pseudoroegneria spicata","bluebunch wheatgrass","ND(Billings, Golden Valley, Mountrail, Slope, Williams)"
"Pseudoroegneria spicata ssp. spicata","bluebunch wheatgrass","ND(Billings, Golden Valley, Mountrail, Slope, Williams)"
"Psoralidium","scurfpea","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Kidder, McKenzie, McLean, Mercer, Morton, Mountrail, Sioux, Slope, Williams)"
"Psoralidium lanceolatum","lemon scurfpea","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Kidder, McKenzie, McLean, Mercer, Morton, Mountrail, Sioux, Slope, Williams)"
"Psoralidium tenuiflorum","slimflower scurfpea","ND(Bowman)"
"Pteridium","brackenfern","ND(Pembina)"
"Pteridium aquilinum","western brackenfern","ND(Pembina)"
"Pteridium aquilinum var. latiusculum","western brackenfern","ND(Pembina)"
"Puccinellia","alkaligrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Puccinellia nuttalliana","Nuttall's alkaligrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Pulsatilla","pasqueflower","ND(Adams, Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Pulsatilla patens","eastern pasqueflower","ND(Adams, Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Pulsatilla patens ssp. multifida","cutleaf anemone","ND(Adams, Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Pycnanthemum","mountainmint","ND(Richland)"
"Pycnanthemum virginianum","Virginia mountainmint","ND(Richland)"
"Pyrola","wintergreen","ND(Benson, Bottineau, Dunn, Eddy, Pembina, Richland, Rolette)"
"Pyrola asarifolia","liverleaf wintergreen","ND(Benson, Bottineau, Dunn, Pembina, Richland, Rolette)"
"Pyrola asarifolia ssp. asarifolia","liverleaf wintergreen","ND(Benson, Bottineau, Dunn, Pembina, Richland, Rolette)"
"Pyrola elliptica","waxflower shinleaf","ND(Bottineau, Dunn, Eddy, Pembina)"
"Pyrrocoma","goldenweed","ND(Burke, Divide, Mountrail, Ward, Williams)"
"Pyrrocoma lanceolata","lanceleaf goldenweed","ND(Burke, Divide, Mountrail, Ward, Williams)"
"Pyrrocoma lanceolata var. lanceolata","lanceleaf goldenweed","ND(Burke, Divide, Mountrail, Ward, Williams)"
"Quercus","oak","ND(Barnes, Benson, Billings, Bottineau, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, Griggs, LaMoure, Logan, McHenry, McKenzie, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Stark, Steele, Stutsman, Ward)"
"Quercus macrocarpa","bur oak","ND(Barnes, Benson, Billings, Bottineau, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, Griggs, LaMoure, Logan, McHenry, McKenzie, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Stark, Steele, Stutsman, Ward)"
"Ranunculus","buttercup","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Ranunculus abortivus","littleleaf buttercup","ND(Barnes, Billings, Burke, Burleigh, Cass, Cavalier, Dunn, Golden Valley, Grand Forks, Griggs, Mercer, Nelson, Oliver, Pembina, Ransom, Richland, Sargent, Slope, Steele, Stutsman, Traill, Ward, Williams)"
"Ranunculus acris","tall buttercup","ND(Cass, McLean, Richland)"
"Ranunculus acris var. acris","showy buttercup","ND(Cass, McLean, Richland)"
"Ranunculus cardiophyllus","heartleaf buttercup","ND(McKenzie)"
"Ranunculus cymbalaria","alkali buttercup","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Slope, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Ranunculus flabellaris","yellow water buttercup","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Dickey, Divide, Emmons, Grand Forks, LaMoure, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Stark, Stutsman)"
"Ranunculus glaberrimus","sagebrush buttercup","ND(Burke, Kidder, Mountrail, Stark)"
"Ranunculus glaberrimus var. ellipticus","elliptical buttercup","ND(Burke, Kidder, Mountrail, Stark)"
"Ranunculus gmelinii","Gmelin's buttercup","ND(Barnes, Benson, Bottineau, Burke, Cavalier, Divide, Grand Forks, Kidder, Ransom, Richland, Rolette, Steele, Ward, Wells)"
"Ranunculus hispidus","bristly buttercup","ND(Barnes, Eddy, Emmons, LaMoure, Nelson, Pembina, Ransom, Richland, Stutsman, Ward)"
"Ranunculus hispidus var. caricetorum","bristly buttercup","ND(Barnes, Eddy, Emmons, LaMoure, Nelson, Pembina, Ransom, Richland, Stutsman, Ward)"
"Ranunculus longirostris","longbeak buttercup","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Ranunculus macounii","Macoun's buttercup","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Kidder, LaMoure, McHenry, McIntosh, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Ransom, Renville, Richland, Rolette, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Ranunculus pensylvanicus","Pennsylvania buttercup","ND(Barnes, Benson, Bottineau, Cass, Dickey, Dunn, Eddy, Grand Forks, Grant, Griggs, Logan, McHenry, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Traill, Walsh)"
"Ranunculus recurvatus","blisterwort","ND(Richland)"
"Ranunculus recurvatus var. recurvatus","blisterwort","ND(Richland)"
"Ranunculus rhomboideus","Labrador buttercup","ND(Barnes, Benson, Burke, Cass, Divide, Emmons, Logan, McHenry, McIntosh, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Slope, Steele, Stutsman, Walsh, Ward)"
"Ranunculus sceleratus","cursed buttercup","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Ranunculus trichophyllus","threadleaf crowfoot","ND(Emmons, McIntosh)"
"Ranunculus trichophyllus var. trichophyllus","threadleaf crowfoot","ND(Emmons, McIntosh)"
"Raphanus","radish","ND(Morton, Pembina, Richland, Walsh)"
"Raphanus sativus","cultivated radish","ND(Morton, Pembina, Richland, Walsh)"
"Ratibida","prairie coneflower","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Ratibida columnifera","upright prairie coneflower","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Redfieldia","blowout grass","ND(Kidder, McHenry, Ransom, Richland)"
"Redfieldia flexuosa","blowout grass","ND(Kidder, McHenry, Ransom, Richland)"
"Rhamnus","buckthorn","ND(Barnes, Benson, Burke, Burleigh, Cass, Cavalier, Divide, Grand Forks, Griggs, McLean, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Ward)"
"Rhamnus alnifolia","alderleaf buckthorn","ND(Benson, Cavalier, Pembina, Ransom, Rolette)"
"Rhamnus cathartica","common buckthorn","ND(Barnes, Benson, Burke, Burleigh, Cass, Cavalier, Divide, Grand Forks, Griggs, McLean, Mountrail, Ransom, Richland, Sargent, Steele, Stutsman, Ward)"
"Rhamnus davurica","Dahurian buckthorn","ND(Burleigh, Oliver, Ransom, Richland)"
"Rhamnus davurica ssp. davurica","Dahurian buckthorn","ND(Burleigh, Oliver, Ransom, Richland)"
"Rhus","sumac","ND(Barnes, Benson, Billings, Bowman, Burleigh, Cass, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Logan, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sioux, Slope, Stark, Williams)"
"Rhus glabra","smooth sumac","ND(Barnes, Benson, Cass, Grand Forks, Pembina, Ramsey, Ransom, Richland)"
"Rhus trilobata","skunkbush sumac","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Grant, Logan, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Sioux, Slope, Stark, Williams)"
"Rhus trilobata var. trilobata","skunkbush sumac","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Grant, Logan, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Sioux, Slope, Stark, Williams)"
"Ribes","currant","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
