"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Tragia","noseburn","VA(Charlotte, Chesterfield, Gloucester, Greensville, Halifax, Hanover, Isle of Wight, James City, Mecklenburg, New Kent, Pittsylvania, Southampton, Suffolk (city), Sussex)"
"Tragia urens","wavyleaf noseburn","VA(Chesterfield, Gloucester, Greensville, Hanover, Isle of Wight, James City, New Kent, Southampton, Suffolk (city), Sussex)"
"Tragia urticifolia","nettleleaf noseburn","VA(Charlotte, Halifax, Mecklenburg, Pittsylvania)"
"Tragopogon","goatsbeard","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Campbell, Charlotte, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greene, Hampton (city), Hanover, Henry, Highland, Lee, Loudoun, Louisa, Madison, Montgomery, Nelson, Northampton, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wise, Wythe)"
"Tragopogon dubius","yellow salsify","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Bedford, Bland, Botetourt, Brunswick, Campbell, Charlotte, Clarke, Craig, Culpeper, Cumberland, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greene, Hampton (city), Henry, Highland, Lee, Loudoun, Louisa, Madison, Montgomery, Nelson, Northampton, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince William, Roanoke, Rockbridge, Rockingham, Russell, Shenandoah, Tazewell, Warren, Washington, Wise, Wythe)"
"Tragopogon porrifolius","salsify","VA(Albemarle, Augusta, Bedford, Botetourt, Campbell, Clarke, Dinwiddie, Fairfax, Fluvanna, Orange, Pittsylvania, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Warren, Washington)"
"Tragopogon pratensis","Jack-go-to-bed-at-noon","VA(Albemarle, Appomattox, Charlotte, Hanover, Montgomery, Orange, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Warren)"
"Trautvetteria","bugbane","VA(Albemarle, Alleghany, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Carroll, Craig, Cumberland, Dickenson, Fairfax, Floyd, Franklin, Giles, Grayson, Henry, Lee, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Washington, Wise)"
"Trautvetteria caroliniensis","Carolina bugbane","VA(Albemarle, Alleghany, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Carroll, Craig, Cumberland, Dickenson, Fairfax, Floyd, Franklin, Giles, Grayson, Henry, Lee, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Washington, Wise)"
"Trautvetteria caroliniensis var. caroliniensis","Carolina bugbane","VA(Albemarle, Alleghany, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Carroll, Craig, Cumberland, Dickenson, Fairfax, Floyd, Franklin, Giles, Grayson, Henry, Lee, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Washington, Wise)"
"Triadenum","marsh St. Johnswort","VA(Accomack, Alleghany, Amelia, Augusta, Bath, Botetourt, Brunswick, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Giles, Gloucester, Greensville, Halifax, Hanover, Henrico, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Powhatan, Prince George, Richmond, Rockingham, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Triadenum fraseri","Fraser's marsh St. Johnswort","VA(Giles, Highland, Northampton)"
"Triadenum tubulosum","lesser marsh St. Johnswort","VA(Greensville, Halifax, Isle of Wight, Southampton, Sussex)"
"Triadenum virginicum","Virginia marsh St. Johnswort","VA(Accomack, Alleghany, Augusta, Bath, Brunswick, Caroline, Chesapeake (city), Chesterfield, Dinwiddie, Gloucester, Greensville, Hanover, Henrico, Highland, Isle of Wight, James City, King George, King and Queen, Lancaster, Louisa, Lunenburg, Mathews, Middlesex, New Kent, Northampton, Northumberland, Nottoway, Powhatan, Prince George, Richmond, Rockingham, Southampton, Spotsylvania, Stafford, Suffolk (city), Sussex, Virginia Beach (city), Westmoreland, York)"
"Triadenum walteri","greater marsh St. Johnswort","VA(Accomack, Amelia, Augusta, Botetourt, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Giles, Gloucester, Greensville, Halifax, Henrico, Isle of Wight, King George, King William, King and Queen, Louisa, Mecklenburg, Middlesex, New Kent, Newport News (city), Northumberland, Nottoway, Powhatan, Prince George, Richmond, Southampton, Spotsylvania, Stafford, Surry, Virginia Beach (city))"
"Triantha","false asphodel","VA(Augusta, Grayson, Greensville, Isle of Wight, Prince George, Suffolk (city), Sussex)"
"Triantha glutinosa","sticky tofieldia","VA(Grayson)"
"Triantha racemosa","coastal false asphodel","VA(Augusta, Greensville, Isle of Wight, Prince George, Suffolk (city), Sussex)"
"Trichomanes","bristle fern","VA(Russell)"
"Trichomanes boschianum","Appalachian bristle fern","VA(Russell)"
"Trichophorum","bulrush","VA(Albemarle, Augusta, Bath, Bedford, Botetourt, Buckingham, Campbell, Clarke, Craig, Fairfax, Fauquier, Floyd, Franklin, Grayson, Greene, Halifax, Highland, Loudoun, Louisa, Lunenburg, Nelson, Page, Pittsylvania, Prince Edward, Prince William, Rappahannock, Roanoke, Rockingham, Stafford, Warren)"
"Trichophorum planifolium","bashful bulrush","VA(Albemarle, Augusta, Bath, Bedford, Botetourt, Buckingham, Campbell, Clarke, Craig, Fairfax, Fauquier, Floyd, Franklin, Grayson, Greene, Halifax, Highland, Loudoun, Louisa, Lunenburg, Nelson, Page, Pittsylvania, Prince Edward, Prince William, Rappahannock, Roanoke, Rockingham, Stafford, Warren)"
"Trichostema","bluecurls","VA(Accomack, Albemarle, Amelia, Amherst, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Trichostema brachiatum","fluxweed","VA(Albemarle, Bath, Bedford, Bland, Botetourt, Craig, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Lee, Loudoun, Montgomery, Page, Powhatan, Prince William, Pulaski, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Warren, Wise, Wythe)"
"Trichostema dichotomum","forked bluecurls","VA(Accomack, Albemarle, Amelia, Amherst, Augusta, Bedford, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Wise, York)"
"Trichostema setaceum","narrowleaf bluecurls","VA(Fauquier, Isle of Wight, Roanoke, Rockbridge, Shenandoah, Southampton, Suffolk (city), Sussex, Warren, Washington)"
"Tridens","tridens","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Tridens flavus","purpletop tridens","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Tridens strictus","longspike tridens","VA(Halifax, James City, York)"
"Trientalis","starflower","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Bland, Botetourt, Carroll, Craig, Fauquier, Floyd, Frederick, Giles, Grayson, Greene, Highland, Loudoun, Madison, Nelson, Page, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Warren, Wythe)"
"Trientalis borealis","starflower","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Bland, Botetourt, Carroll, Craig, Fauquier, Floyd, Frederick, Giles, Grayson, Greene, Highland, Loudoun, Madison, Nelson, Page, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Warren, Wythe)"
"Trientalis borealis ssp. borealis","starflower","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Bland, Botetourt, Carroll, Craig, Fauquier, Floyd, Frederick, Giles, Grayson, Greene, Highland, Loudoun, Madison, Nelson, Page, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Warren, Wythe)"
"Trifolium","clover","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Trifolium arvense","rabbitfoot clover","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Giles, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Shenandoah, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Westmoreland, Wise, York)"
"Trifolium aureum","golden clover","VA(Accomack, Amelia, Amherst, Arlington, Augusta, Bath, Bland, Brunswick, Carroll, Chesterfield, Craig, Culpeper, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Greensville, Henrico, Henry, Highland, James City, King George, King and Queen, Loudoun, Montgomery, Nelson, Northumberland, Nottoway, Patrick, Pittsylvania, Prince William, Pulaski, Roanoke, Rockbridge, Scott, Shenandoah, Smyth, Suffolk (city), Sussex, Tazewell, Virginia Beach (city), Washington)"
"Trifolium calcaricum","running glade clover","VA(Lee)"
"Trifolium campestre","field clover","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, York)"
"Trifolium dubium","suckling clover","VA(Accomack, Amelia, Amherst, Appomattox, Arlington, Bedford, Brunswick, Campbell, Charles City, Chesapeake (city), Dickenson, Fairfax, Gloucester, Greensville, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, King and Queen, Lancaster, Lee, Loudoun, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Rockbridge, Rockingham, Smyth, Southampton, Suffolk (city), Sussex, Virginia Beach (city), Wise, York)"
"Trifolium hybridum","alsike clover","VA(Accomack, Albemarle, Amelia, Amherst, Arlington, Augusta, Bath, Botetourt, Brunswick, Campbell, Caroline, Charlotte, Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Newport News (city), Northampton, Nottoway, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Sussex, Tazewell, Virginia Beach (city), Warren)"
"Trifolium incarnatum","crimson clover","VA(Augusta, Brunswick, Buckingham, Campbell, Charles City, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Fairfax, Fluvanna, Gloucester, Goochland, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King William, King and Queen, Lancaster, Loudoun, Mathews, Mecklenburg, Middlesex, Nelson, Newport News (city), Northumberland, Pittsylvania, Prince Edward, Richmond, Rockingham, Shenandoah, Southampton, Sussex, Virginia Beach (city))"
"Trifolium pratense","red clover","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Trifolium reflexum","buffalo clover","VA(Amelia, Cumberland, Mecklenburg, Pittsylvania, Prince George, Prince William, Sussex)"
"Trifolium repens","white clover","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe, York)"
"Trifolium virginicum","Kates Mountain clover","VA(Alleghany, Augusta, Bath, Botetourt, Craig, Culpeper, Franklin, Frederick, Highland, Loudoun, Rockingham, Shenandoah, Warren)"
"Triglochin","arrowgrass","VA(Accomack, Chesapeake (city), Gloucester, Mathews, Middlesex, Virginia Beach (city), Westmoreland, York)"
"Triglochin striata","three-rib arrowgrass","VA(Accomack, Chesapeake (city), Gloucester, Mathews, Middlesex, Virginia Beach (city), Westmoreland, York)"
"Trillium","trillium","VA(Accomack, Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Greensville, Halifax, Hampton (city), Henrico, Henry, Highland, James City, Lee, Loudoun, Madison, Mecklenburg, Montgomery, Nelson, Page, Patrick, Pittsylvania, Prince Edward, Prince William, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Suffolk (city), Surry, Sussex, Tazewell, Warren, Washington, Wise, Wythe)"
"Trillium erectum","red trillium","VA(Alleghany, Amherst, Augusta, Buchanan, Carroll, Craig, Dickenson, Fauquier, Giles, Grayson, Greene, Highland, Nelson, Page, Patrick, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Washington, Wythe)"
"Trillium flexipes","nodding wakerobin","VA(Buchanan, Dickenson, Scott, Tazewell)"
"Trillium grandiflorum","white trillium","VA(Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Campbell, Carroll, Clarke, Craig, Dickenson, Fauquier, Floyd, Franklin, Giles, Greene, Henry, Highland, Lee, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wythe)"
"Trillium nivale","snow trillium","VA(Highland, Rockingham)"
"Trillium pusillum","dwarf wakerobin","VA(Accomack, Augusta, Charles City, Chesapeake (city), Chesterfield, Dinwiddie, Grayson, Greensville, Hampton (city), Henrico, James City, Rockingham, Surry, Sussex)"
"Trillium pusillum var. virginianum","Virginia wakerobin","VA(Accomack, Augusta, Charles City, Chesapeake (city), Chesterfield, Dinwiddie, Grayson, Greensville, Hampton (city), Henrico, James City, Rockingham, Surry, Sussex)"
"Trillium sessile","toadshade","VA(Accomack, Albemarle, Amherst, Appomattox, Augusta, Bedford, Botetourt, Buckingham, Campbell, Charlotte, Chesterfield, Clarke, Fairfax, Frederick, Giles, Gloucester, Greensville, Halifax, Henrico, Loudoun, Mecklenburg, Page, Pittsylvania, Prince Edward, Prince William, Rockbridge, Shenandoah, Suffolk (city), Warren)"
"Trillium sulcatum","furrowed wakerobin","VA(Buchanan, Carroll, Floyd, Franklin, Giles, Grayson, Henry, Lee, Patrick, Pulaski, Roanoke, Russell, Scott, Smyth, Tazewell, Washington, Wise)"
"Trillium undulatum","painted trillium","VA(Alleghany, Amherst, Augusta, Bath, Botetourt, Buchanan, Carroll, Craig, Floyd, Giles, Grayson, Highland, Madison, Montgomery, Patrick, Pulaski, Rockbridge, Rockingham, Russell, Scott, Smyth, Tazewell, Washington, Wise)"
"Triodanis","Venus' looking-glass","VA(Accomack, Amelia, Caroline, Charles City, Chesapeake (city), Culpeper, Dinwiddie, Fairfax, Gloucester, Greensville, Halifax, Hampton (city), Hanover, Henrico, James City, King George, King William, King and Queen, Lancaster, Mathews, Mecklenburg, Newport News (city), Northampton, Nottoway, Powhatan, Shenandoah, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Triodanis biflora","small Venus' looking-glass","VA(Accomack, Amelia, Caroline, Charles City, Chesapeake (city), Culpeper, Dinwiddie, Fairfax, Gloucester, Greensville, Halifax, Hampton (city), Hanover, Henrico, James City, King George, King William, King and Queen, Lancaster, Mathews, Mecklenburg, Newport News (city), Northampton, Nottoway, Powhatan, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Triodanis perfoliata","clasping Venus' looking-glass","VA(Shenandoah)"
"Triosteum","horse-gentian","VA(Albemarle, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Campbell, Charlotte, Chesapeake (city), Clarke, Culpeper, Fairfax, Fauquier, Floyd, Franklin, Frederick, Giles, Grayson, Greene, Henry, Highland, James City, King William, Lee, Loudoun, Madison, Montgomery, Nelson, Northumberland, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Surry, Tazewell, Warren, Westmoreland, Wythe, York)"
"Triosteum angustifolium","yellowfruit horse-gentian","VA(Amelia, Augusta, Campbell, Culpeper, Fairfax, Fauquier, Frederick, Grayson, Lee, Orange, Prince Edward, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Warren)"
"Triosteum aurantiacum","orangefruit horse-gentian","VA(Amherst, Augusta, Campbell, Charlotte, Franklin, Giles, Grayson, Patrick, Rockbridge, Russell, Scott, Smyth)"
"Triosteum aurantiacum var. aurantiacum","orangefruit horse-gentian","VA(Amherst, Augusta, Campbell, Charlotte, Franklin, Giles, Grayson, Patrick, Rockbridge, Russell, Scott, Smyth)"
"Triosteum perfoliatum","feverwort","VA(Albemarle, Arlington, Augusta, Bath, Bedford, Campbell, Chesapeake (city), Clarke, Fairfax, Fauquier, Floyd, Frederick, Giles, Greene, Henry, Highland, James City, King William, Lee, Loudoun, Madison, Montgomery, Nelson, Northumberland, Page, Pittsylvania, Powhatan, Pulaski, Rappahannock, Roanoke, Rockbridge, Russell, Scott, Shenandoah, Smyth, Surry, Tazewell, Warren, Westmoreland, Wythe, York)"
"Triphora","noddingcaps","VA(Botetourt, Dickenson, Fairfax, Grayson, James City, Rockingham, Surry, Washington)"
"Triphora trianthophora","threebirds","VA(Botetourt, Dickenson, Fairfax, Grayson, James City, Rockingham, Surry, Washington)"
"Triplasis","sandgrass","VA(Accomack, Charles City, Gloucester, Hampton (city), Isle of Wight, King George, King and Queen, Mathews, Middlesex, Northampton, Northumberland, Southampton, Suffolk (city), Surry, Virginia Beach (city))"
"Triplasis purpurea","purple sandgrass","VA(Accomack, Charles City, Gloucester, Hampton (city), Isle of Wight, King George, King and Queen, Mathews, Middlesex, Northampton, Northumberland, Southampton, Suffolk (city), Surry, Virginia Beach (city))"
"Tripsacum","gamagrass","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Richmond, Rockbridge, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Westmoreland, York)"
