"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Symphyotrichum puniceum","purplestem aster","SC(Aiken, Chesterfield, Oconee, Spartanburg, Union)"
"Symphyotrichum puniceum var. puniceum","purplestem aster","SC(Aiken, Chesterfield, Oconee, Spartanburg, Union)"
"Symphyotrichum retroflexum","rigid whitetop aster","SC(Oconee, Pickens)"
"Symphyotrichum subulatum","eastern annual saltmarsh aster","SC(Charleston)"
"Symphyotrichum tenuifolium","perennial saltmarsh aster","SC(Charleston, Georgetown, Jasper)"
"Symphyotrichum undulatum","wavyleaf aster","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Florence, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Marion, Marlboro, Oconee, Orangeburg, Pickens, Saluda, Sumter, Williamsburg, York)"
"Symphyotrichum walteri","Walter's aster","SC(Allendale, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dillon, Dorchester, Hampton, Jasper, Orangeburg)"
"Symplocos","sweetleaf","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Darlington, Dillon, Dorchester, Georgetown, Greenville, Horry, Jasper, Lancaster, Lee, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Richland, Williamsburg)"
"Symplocos tinctoria","common sweetleaf","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Darlington, Dillon, Dorchester, Georgetown, Greenville, Horry, Jasper, Lancaster, Lee, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Richland, Williamsburg)"
"Syngonanthus","syngonanthus","SC(Beaufort, Florence, Lexington)"
"Syngonanthus flavidulus","yellow hatpins","SC(Beaufort, Florence, Lexington)"
"Taenidia","taenidia","SC(Chester, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Lancaster, Pickens, Richland)"
"Taenidia integerrima","yellow pimpernel","SC(Chester, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Lancaster, Pickens, Richland)"
"Tagetes","marigold","SC(Aiken, Allendale, Barnwell, Calhoun, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Florence, Kershaw, Lee, Lexington, Marion, Orangeburg, Saluda, Sumter, Union, Williamsburg)"
"Tagetes minuta","muster John Henry","SC(Aiken, Allendale, Barnwell, Calhoun, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Florence, Kershaw, Lee, Lexington, Marion, Orangeburg, Saluda, Sumter, Union, Williamsburg)"
"Tamarix","tamarisk","SC(Beaufort, Charleston, Georgetown, Horry)"
"Tamarix gallica","French tamarisk","SC(Beaufort, Charleston, Georgetown, Horry)"
"Tanacetum","tansy","SC(Aiken, Darlington)"
"Tanacetum parthenium","feverfew","SC(Aiken, Darlington)"
"Taraxacum","dandelion","SC(Aiken, Cherokee, Chester, Darlington, Florence, Greenville, Greenwood, Kershaw, Lee, Marion, McCormick, Richland, Spartanburg, Union, Williamsburg, York)"
"Taraxacum laevigatum","rock dandelion","SC(Aiken, Greenwood, Kershaw, Lee, Richland)"
"Taraxacum officinale","common dandelion","SC(Cherokee, Chester, Darlington, Florence, Greenville, Marion, McCormick, Richland, Spartanburg, Union, Williamsburg, York)"
"Taraxacum officinale ssp. officinale","common dandelion","SC(Cherokee, Chester, Darlington, Florence, Greenville, Marion, McCormick, Richland, Spartanburg, Union, Williamsburg, York)"
"Taxodium","bald cypress","SC(Aiken, Allendale, Bamberg, Beaufort, Berkeley, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Jasper, Marion, Marlboro, McCormick, Orangeburg, Sumter)"
"Taxodium ascendens","pond cypress","SC(Allendale, Bamberg, Berkeley, Charleston, Colleton, Darlington, Georgetown, Hampton, Jasper, Marlboro, Orangeburg, Sumter)"
"Taxodium distichum","bald cypress","SC(Aiken, Beaufort, Berkeley, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Jasper, Marion, Marlboro, McCormick, Orangeburg, Sumter)"
"Tephrosia","hoarypea","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Tephrosia florida","Florida hoarypea","SC(Aiken, Barnwell, Chesterfield, Colleton, Darlington, Dillon, Georgetown, Hampton, Horry, Kershaw, Lexington, Marion, Marlboro, Orangeburg, Richland)"
"Tephrosia hispidula","sprawling hoarypea","SC(Bamberg, Berkeley, Charleston, Clarendon, Colleton, Darlington, Dorchester, Florence, Horry, Jasper)"
"Tephrosia spicata","spiked hoarypea","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dillon, Fairfield, Florence, Georgetown, Greenwood, Kershaw, Lancaster, Laurens, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Tephrosia virginiana","Virginia tephrosia","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Williamsburg, York)"
"Tetragonotheca","nerveray","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Florence, Jasper, Kershaw, Lancaster, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Richland, Sumter, York)"
"Tetragonotheca helianthoides","pineland nerveray","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Florence, Jasper, Kershaw, Lancaster, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Richland, Sumter, York)"
"Teucrium","germander","SC(Beaufort, Charleston, Fairfield, Georgetown, Horry, Jasper, Kershaw, Lexington, Pickens, Richland, York)"
"Teucrium canadense","Canada germander","SC(Beaufort, Charleston, Fairfield, Georgetown, Horry, Jasper, Kershaw, Lexington, Pickens, Richland, York)"
"Thalia","alligator-flag","SC(Charleston, Hampton, Horry, Jasper)"
"Thalia dealbata","powdery alligator-flag","SC(Charleston, Hampton, Horry, Jasper)"
"Thalictrum","meadow-rue","SC(Abbeville, Aiken, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Darlington, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Thalictrum clavatum","mountain meadow-rue","SC(Pickens)"
"Thalictrum macrostylum","piedmont meadow-rue","SC(Aiken, Berkeley, Chesterfield, Georgetown, Pickens)"
"Thalictrum pubescens","king of the meadow","SC(Georgetown)"
"Thalictrum revolutum","waxyleaf meadow-rue","SC(Aiken, Chester, Darlington, Edgefield, Fairfield, Greenville, Lancaster, Laurens, McCormick, Oconee, Pickens, Saluda, York)"
"Thalictrum thalictroides","rue anemone","SC(Abbeville, Aiken, Calhoun, Charleston, Cherokee, Chester, Edgefield, Fairfield, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Richland, Spartanburg, Union, York)"
"Thaspium","meadowparsnip","SC(Abbeville, Anderson, Barnwell, Berkeley, Calhoun, Cherokee, Chester, Darlington, Dorchester, Edgefield, Fairfield, Greenwood, Jasper, Kershaw, Lancaster, Laurens, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, York)"
"Thaspium barbinode","hairyjoint meadowparsnip","SC(Abbeville, Anderson, Barnwell, Berkeley, Calhoun, Cherokee, Chester, Darlington, Dorchester, Edgefield, Fairfield, Greenwood, Kershaw, Lancaster, Laurens, McCormick, Orangeburg, Pickens, Richland, Spartanburg, Sumter, York)"
"Thaspium trifoliatum","purple meadowparsnip","SC(Abbeville, Barnwell, Cherokee, Chester, Jasper, Kershaw, Lancaster, McCormick, Oconee, Orangeburg, Richland, York)"
"Thaspium trifoliatum var. aureum","purple meadowparsnip","SC(Cherokee, Kershaw, Orangeburg)"
"Thaspium trifoliatum var. trifoliatum","purple meadowparsnip","SC(Abbeville, Barnwell, Chester, Jasper, Lancaster, McCormick, Oconee, Richland, York)"
"Thelypteris","maiden fern","SC(Allendale, Bamberg, Beaufort, Berkeley, Charleston, Cherokee, Darlington, Dorchester, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Orangeburg, Pickens, Richland, Spartanburg)"
"Thelypteris kunthii","Kunth's maiden fern","SC(Allendale, Beaufort, Darlington, Dorchester, Hampton, Orangeburg)"
"Thelypteris noveboracensis","New York fern","SC(Cherokee, Greenville, Kershaw, Lancaster, Pickens, Spartanburg)"
"Thelypteris palustris","eastern marsh fern","SC(Bamberg, Berkeley, Charleston, Darlington, Georgetown, Horry, Jasper, Richland)"
"Thelypteris palustris var. pubescens","eastern marsh fern","SC(Bamberg, Berkeley, Charleston, Darlington, Georgetown, Horry, Jasper, Richland)"
"Thermopsis","goldenbanner","SC(Abbeville, Greenville, Pickens)"
"Thermopsis fraxinifolia","ashleaf goldenbanner","SC(Abbeville, Pickens)"
"Thermopsis mollis","Allegheny Mountain goldenbanner","SC(Greenville)"
"Thlaspi","pennycress","SC(Berkeley, Marlboro)"
"Thlaspi arvense","field pennycress","SC(Berkeley, Marlboro)"
"Tiarella","foamflower","SC(Cherokee, Chester, Fairfield, Kershaw, Lancaster, McCormick, Oconee, Pickens, Richland, Spartanburg, Union)"
"Tiarella cordifolia","heartleaf foamflower","SC(Cherokee, Chester, Fairfield, Kershaw, Lancaster, McCormick, Oconee, Pickens, Richland, Spartanburg, Union)"
"Tiarella cordifolia var. collina","heartleaf foamflower","SC(Cherokee, Chester, Fairfield, Kershaw, Lancaster, McCormick, Oconee, Pickens, Richland, Spartanburg, Union)"
"Tiarella cordifolia var. cordifolia","heartleaf foamflower","SC(Pickens)"
"Tilia","basswood","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Edgefield, Georgetown, Greenville, Horry, Lancaster, Laurens, Lexington, Oconee, Pickens, Richland, Saluda, Sumter, York)"
"Tilia americana","American basswood","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Edgefield, Georgetown, Greenville, Horry, Lancaster, Laurens, Lexington, Oconee, Pickens, Richland, Saluda, Sumter, York)"
"Tilia americana var. caroliniana","Carolina basswood","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Edgefield, Georgetown, Greenville, Horry, Laurens, Oconee, Pickens, Richland, Saluda, Sumter, York)"
"Tilia americana var. heterophylla","American basswood","SC(Abbeville, Beaufort, Cherokee, Lancaster, Lexington, Oconee, York)"
"Tillandsia","airplant","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Marion, Marlboro, Orangeburg, Richland, Sumter, Williamsburg)"
"Tillandsia usneoides","Spanish moss","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Marion, Marlboro, Orangeburg, Richland, Sumter, Williamsburg)"
"Tipularia","tipularia","SC(Aiken, Allendale, Bamberg, Barnwell, Calhoun, Charleston, Cherokee, Clarendon, Colleton, Dorchester, Florence, Georgetown, Greenville, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg)"
"Tipularia discolor","crippled cranefly","SC(Aiken, Allendale, Bamberg, Barnwell, Calhoun, Charleston, Cherokee, Clarendon, Colleton, Dorchester, Florence, Georgetown, Greenville, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg)"
"Tofieldia","tofieldia","SC(Chesterfield, Darlington)"
"Tofieldia glabra","smooth tofieldia","SC(Chesterfield, Darlington)"
"Torilis","hedgeparsley","SC(Beaufort, Berkeley, Richland, Union, York)"
"Torilis arvensis","spreading hedgeparsley","SC(Berkeley, Union, York)"
"Torilis arvensis ssp. arvensis","spreading hedgeparsley","SC(Berkeley, Union, York)"
"Torilis nodosa","knotted hedgeparsley","SC(Beaufort, Richland)"
"Toxicodendron","poison oak","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Georgetown, Hampton, Jasper, Kershaw, Lancaster, Oconee, Orangeburg, Pickens, Richland, Spartanburg, York)"
"Toxicodendron pubescens","Atlantic poison oak","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Cherokee, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Hampton, Kershaw, Lancaster, Orangeburg, Pickens, Richland, York)"
"Toxicodendron radicans","eastern poison ivy","SC(Aiken, Anderson, Bamberg, Beaufort, Berkeley, Charleston, Cherokee, Darlington, Dillon, Dorchester, Jasper, Oconee, Orangeburg, Spartanburg, York)"
"Toxicodendron radicans ssp. radicans","eastern poison ivy","SC(Aiken, Anderson, Bamberg, Beaufort, Berkeley, Charleston, Cherokee, Darlington, Dillon, Dorchester, Jasper, Oconee, Orangeburg, Spartanburg, York)"
"Toxicodendron vernix","poison sumac","SC(Aiken, Allendale, Barnwell, Berkeley, Charleston, Cherokee, Colleton, Georgetown, Hampton, Lancaster, Orangeburg, Richland)"
"Trachelospermum","trachelospermum","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Fairfield, Florence, Georgetown, Jasper, Lancaster, Laurens, Lee, Lexington, Marion, Newberry, Orangeburg, Saluda, Union, Williamsburg, York)"
"Trachelospermum difforme","climbing dogbane","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Fairfield, Florence, Georgetown, Jasper, Lancaster, Laurens, Lee, Lexington, Marion, Newberry, Orangeburg, Saluda, Union, Williamsburg, York)"
"Tradescantia","spiderwort","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Beaufort, Berkeley, Charleston, Chester, Dorchester, Fairfield, Georgetown, Greenville, Greenwood, Horry, Lancaster, Lexington, McCormick, Newberry, Oconee, Pickens, Richland, Spartanburg, Union)"
"Tradescantia hirsuticaulis","hairystem spiderwort","SC(Abbeville, Anderson, Chester, Fairfield, McCormick, Pickens)"
"Tradescantia ohiensis","bluejacket","SC(Aiken, Bamberg, Beaufort, Berkeley, Charleston, Dorchester, Georgetown, Horry, Lancaster, McCormick)"
"Tradescantia roseolens","longleaf spiderwort","SC(Aiken)"
"Tradescantia subaspera","zigzag spiderwort","SC(Abbeville, Aiken, Allendale, Anderson, Greenville, Greenwood, Lexington, McCormick, Newberry, Oconee, Pickens, Spartanburg, Union)"
"Tradescantia subaspera var. montana","zigzag spiderwort","SC(Abbeville, Aiken, Allendale, Anderson, Greenville, Greenwood, Lexington, McCormick, Newberry, Oconee, Pickens, Spartanburg, Union)"
"Tradescantia virginiana","Virginia spiderwort","SC(Lancaster, Richland)"
"Tragia","noseburn","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg, York)"
"Tragia urens","wavyleaf noseburn","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marlboro, Oconee, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Tragia urticifolia","nettleleaf noseburn","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Berkeley, Calhoun, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Fairfield, Greenwood, Hampton, Kershaw, Lancaster, McCormick, Oconee, Pickens, Richland, Sumter, York)"
"Trautvetteria","bugbane","SC(Barnwell, Greenville, Pickens)"
"Trautvetteria caroliniensis","Carolina bugbane","SC(Barnwell, Greenville, Pickens)"
"Trautvetteria caroliniensis var. caroliniensis","Carolina bugbane","SC(Barnwell, Greenville)"
"Trepocarpus","trepocarpus","SC(Aiken, McCormick, Richland)"
"Trepocarpus aethusae","whitenymph","SC(Aiken, McCormick, Richland)"
"Triadenum","marsh St. Johnswort","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenville, Hampton, Jasper, Kershaw, Lancaster, Lee, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Sumter, Union, Williamsburg)"
"Triadenum tubulosum","lesser marsh St. Johnswort","SC(Clarendon, Kershaw)"
"Triadenum virginicum","Virginia marsh St. Johnswort","SC(Aiken, Bamberg, Barnwell, Charleston, Chesterfield, Clarendon, Darlington, Dorchester, Hampton, Jasper, Kershaw, Lee, Marlboro, Richland, Williamsburg)"
"Triadenum walteri","greater marsh St. Johnswort","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Florence, Georgetown, Greenville, Kershaw, Lancaster, Marion, Marlboro, Oconee, Orangeburg, Pickens, Sumter, Union, Williamsburg)"
"Triadica","Chinese tallow","SC(Beaufort, Charleston, Colleton, Jasper)"
"Triadica sebifera","Chinese tallow","SC(Beaufort, Charleston, Colleton, Jasper)"
"Triantha","false asphodel","SC(Allendale, Beaufort, Berkeley, Charleston, Chesterfield, Clarendon, Darlington, Dorchester, Florence, Georgetown, Hampton, Jasper, Lee, Williamsburg)"
"Triantha racemosa","coastal false asphodel","SC(Allendale, Beaufort, Berkeley, Charleston, Chesterfield, Clarendon, Darlington, Dorchester, Florence, Georgetown, Hampton, Jasper, Lee, Williamsburg)"
"Trianthema","trianthema","SC(Charleston)"
"Trianthema portulacastrum","desert horsepurslane","SC(Charleston)"
"Tribulus","puncturevine","SC(Beaufort)"
"Tribulus terrestris","puncturevine","SC(Beaufort)"
"Trichomanes","bristle fern","SC(Oconee, Pickens)"
"Trichomanes boschianum","Appalachian bristle fern","SC(Oconee)"
"Trichomanes petersii","dwarf bristle fern","SC(Oconee, Pickens)"
"Trichophorum","bulrush","SC(Pickens)"
"Trichophorum cespitosum","tufted bulrush","SC(Pickens)"
"Trichostema","bluecurls","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Trichostema dichotomum","forked bluecurls","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Greenville, Horry, Jasper, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, York)"
"Trichostema setaceum","narrowleaf bluecurls","SC(Abbeville, Aiken, Barnwell, Calhoun, Cherokee, Edgefield, Greenville, Kershaw, Lancaster, Lee, Lexington, Marion, McCormick, Orangeburg, Pickens, Richland)"
"Tridens","tridens","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Edgefield, Fairfield, Florence, Georgetown, Greenville, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Tridens ambiguus","pine barren fluffgrass","SC(Allendale, Barnwell, Berkeley, Clarendon)"
"Tridens carolinianus","Carolina fluffgrass","SC(Allendale, Bamberg, Edgefield, Orangeburg, Saluda)"
"Tridens flavus","purpletop tridens","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Edgefield, Fairfield, Florence, Georgetown, Greenville, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Tridens flavus var. chapmanii","Chapman's tridens","SC(Clarendon)"
"Tridens flavus var. flavus","purpletop tridens","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Edgefield, Fairfield, Florence, Georgetown, Greenville, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Tridens strictus","longspike tridens","SC(Jasper, McCormick)"
"Trifolium","clover","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Trifolium arvense","rabbitfoot clover","SC(Abbeville, Aiken, Allendale, Anderson, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Greenville, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, Williamsburg, York)"
"Trifolium campestre","field clover","SC(Aiken, Anderson, Beaufort, Berkeley, Charleston, Cherokee, Chester, Clarendon, Dillon, Dorchester, Fairfield, Greenwood, Horry, Kershaw, Lancaster, Lexington, Marion, McCormick, Newberry, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Trifolium carolinianum","Carolina clover","SC(Allendale, Bamberg, Barnwell, Beaufort, Charleston, Clarendon, Darlington, Georgetown, Hampton, Jasper, Lancaster, Lexington, Orangeburg)"
"Trifolium dubium","suckling clover","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chester, Darlington, Dillon, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Kershaw, Lancaster, Laurens, Newberry, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Trifolium hybridum","alsike clover","SC(Bamberg, Beaufort, Berkeley, Cherokee, Chester, Colleton, Darlington, Dillon, Fairfield, Horry, Jasper, Kershaw, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, York)"
"Trifolium incarnatum","crimson clover","SC(Abbeville, Bamberg, Beaufort, Calhoun, Charleston, Chester, Edgefield, Fairfield, Greenwood, Horry, Kershaw, Lancaster, Laurens, Marion, McCormick, Newberry, Oconee, Orangeburg, Richland, Spartanburg, York)"
"Trifolium pratense","red clover","SC(Abbeville, Anderson, Barnwell, Berkeley, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Florence, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lee, Marion, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Trifolium reflexum","buffalo clover","SC(Aiken, Anderson, Barnwell, Darlington, Edgefield, Greenville, Jasper, Lancaster, Marion, Oconee, Pickens, Richland, Spartanburg, Williamsburg, York)"
"Trifolium repens","white clover","SC(Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Colleton, Darlington, Dillon, Dorchester, Florence, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lexington, Marion, Newberry, Oconee, Orangeburg, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Trifolium resupinatum","reversed clover","SC(Aiken, Barnwell, Chester)"
"Trifolium vesiculosum","arrowleaf clover","SC(Laurens, Lexington, Newberry, Union)"
"Triglochin","arrowgrass","SC(Charleston, Georgetown)"
"Triglochin striata","three-rib arrowgrass","SC(Charleston, Georgetown)"
"Trillium","trillium","SC(Abbeville, Aiken, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Colleton, Dorchester, Edgefield, Fairfield, Greenville, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Pickens, Richland, Spartanburg, Union, York)"
"Trillium catesbaei","bashful wakerobin","SC(Aiken, Calhoun, Cherokee, Chester, Edgefield, Fairfield, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Pickens, Richland, Spartanburg, Union, York)"
"Trillium cuneatum","little sweet Betsy","SC(Abbeville, Aiken, Beaufort, Berkeley, Charleston, Cherokee, Colleton, Dorchester, Edgefield, Greenville, Oconee)"
"Trillium discolor","mottled wakerobin","SC(Abbeville, Aiken, McCormick, Oconee)"
"Trillium erectum","red trillium","SC(Pickens)"
"Trillium grandiflorum","white trillium","SC(Oconee)"
"Trillium lancifolium","lanceleaf wakerobin","SC(Kershaw, McCormick, Richland)"
"Trillium maculatum","spotted wakerobin","SC(Berkeley)"
"Trillium pusillum","dwarf wakerobin","SC(Berkeley, Calhoun, Dorchester)"
"Trillium pusillum var. pusillum","dwarf wakerobin","SC(Berkeley, Calhoun, Dorchester)"
"Trillium undulatum","painted trillium","SC(Greenville)"
"Trillium vaseyi","sweet wakerobin","SC(Oconee)"
