"","",""
"Abelia","abelia","FL(Franklin)"
"Triphora","noddingcaps","FL(Alachua, Broward, Citrus, Collier, Columbia, Hernando, Highlands, Hillsborough, Lake, Lee, Levy, Marion, Miami-Dade, Orange, Palm Beach, Pinellas, St. Lucie, Sumter, Suwannee)"
"Triphora amazonica","broadleaf noddingcaps","FL(Hernando)"
"Triphora craigheadii","Craighead's noddingcaps","FL(Citrus, Collier, Hernando, Highlands, Hillsborough, Sumter)"
"Triphora gentianoides","gentian noddingcaps","FL(Broward, Collier, Lee, Miami-Dade, Palm Beach, Pinellas, St. Lucie)"
"Triphora rickettii","Yucatan noddingcaps","FL(Citrus, Columbia, Hernando, Sumter)"
"Triphora trianthophora","threebirds","FL(Alachua, Citrus, Columbia, Hernando, Highlands, Hillsborough, Lake, Levy, Marion, Orange, Suwannee)"
"Triplaris","ant tree","FL(Collier)"
"Triplaris melaenodendron","long John","FL(Collier)"
"Triplasis","sandgrass","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, St. Johns, St. Lucie, Sumter, Suwannee, Union, Volusia, Wakulla, Walton, Washington)"
"Triplasis americana","perennial sandgrass","FL(Alachua, Bay, Bradford, Broward, Calhoun, Citrus, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Lake, Leon, Levy, Liberty, Marion, Miami-Dade, Nassau, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sumter, Volusia, Wakulla, Walton)"
"Triplasis purpurea","purple sandgrass","FL(Brevard, Broward, Citrus, Collier, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Hernando, Highlands, Hillsborough, Holmes, Lee, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Pinellas, St. Johns, St. Lucie, Sumter, Suwannee, Union, Volusia, Wakulla, Walton, Washington)"
"Tripsacum","gamagrass","FL(Alachua, Brevard, Broward, Charlotte, Clay, Collier, Dixie, Duval, Escambia, Franklin, Gadsden, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Orange, Osceola, Pasco, Pinellas, Polk, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Volusia, Wakulla, Walton)"
"Tripsacum dactyloides","eastern gamagrass","FL(Alachua, Brevard, Broward, Charlotte, Clay, Collier, Dixie, Duval, Escambia, Franklin, Gadsden, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Orange, Osceola, Pasco, Pinellas, Polk, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Volusia, Wakulla, Walton)"
"Tripsacum floridanum","Florida gamagrass","FL(Collier, Miami-Dade, Monroe)"
"Tristagma","springstar","FL(Leon, Madison)"
"Tristagma uniflorum","springstar","FL(Leon, Madison)"
"Triticum","wheat","FL(Alachua, Duval, Jefferson, Leon, Santa Rosa)"
"Triticum aestivum","common wheat","FL(Alachua, Duval, Jefferson, Leon, Santa Rosa)"
"Triumfetta","burbark","FL(Alachua, Baker, Broward, DeSoto, Hendry, Hernando, Lee, Manatee, Marion, Miami-Dade, Okeechobee, Osceola, Palm Beach, Polk, Seminole, Sumter, Union)"
"Triumfetta pentandra","fivestamen burbark","FL(Alachua, Baker, DeSoto, Hernando, Marion, Osceola, Polk, Seminole, Sumter, Union)"
"Triumfetta rhomboidea","diamond burbark","FL(DeSoto)"
"Triumfetta semitriloba","Sacramento burbark","FL(Broward, Hendry, Lee, Manatee, Miami-Dade, Okeechobee, Palm Beach)"
"Tropidia","tropidia","FL(Miami-Dade)"
"Tropidia polystachya","young palm orchid","FL(Miami-Dade)"
"Turbina","turbina","FL(Collier, Miami-Dade, Monroe, Palm Beach)"
"Turbina corymbosa","Christmasvine","FL(Collier, Miami-Dade, Monroe, Palm Beach)"
"Turnera","turnera","FL(Broward, Lee, Manatee, Miami-Dade, Monroe, Sarasota)"
"Turnera ulmifolia","ramgoat dashalong","FL(Broward, Lee, Manatee, Miami-Dade, Monroe, Sarasota)"
"Typha","cattail","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Typha domingensis","southern cattail","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gulf, Hardee, Hendry, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Johns, St. Lucie, Volusia, Wakulla)"
"Typha latifolia","broadleaf cattail","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Ulmus","elm","FL(Alachua, Bay, Brevard, Calhoun, Citrus, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Lee, Levy, Liberty, Madison, Manatee, Marion, Martin, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Ulmus alata","winged elm","FL(Alachua, Citrus, Columbia, Dixie, Escambia, Gadsden, Hernando, Holmes, Jackson, Jefferson, Lafayette, Levy, Liberty, Marion, Pasco, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Washington)"
"Ulmus americana","American elm","FL(Alachua, Bay, Brevard, Calhoun, Citrus, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Levy, Liberty, Madison, Manatee, Marion, Martin, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Ulmus crassifolia","cedar elm","FL(Citrus, Dixie, Gilchrist, Hamilton, Hernando, Lafayette, Levy, Marion, Suwannee)"
"Ulmus parvifolia","Chinese elm","FL(Highlands, Hillsborough)"
"Ulmus rubra","slippery elm","FL(Calhoun, Gadsden, Jackson, Jefferson, Liberty, Washington)"
"Uniola","seaoats","FL(Bay, Brevard, Charlotte, Collier, Duval, Escambia, Franklin, Indian River, Lee, Manatee, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Palm Beach, Pinellas, Sarasota, St. Johns, St. Lucie, Volusia, Wakulla, Walton)"
"Uniola paniculata","seaoats","FL(Bay, Brevard, Charlotte, Collier, Duval, Escambia, Franklin, Indian River, Lee, Manatee, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Palm Beach, Pinellas, Sarasota, St. Johns, St. Lucie, Volusia, Wakulla, Walton)"
"Urena","urena","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Collier, DeSoto, Escambia, Flagler, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Lucie, Sumter, Volusia)"
"Urena lobata","Caesarweed","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Collier, DeSoto, Escambia, Flagler, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Lucie, Sumter, Volusia)"
"Urochloa","signalgrass","FL(Alachua, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Volusia, Wakulla, Walton)"
"Urochloa adspersa","Dominican signalgrass","FL(Collier, Indian River, Lee, Manatee, Miami-Dade, Monroe, Palm Beach)"
"Urochloa arizonica","Arizona signalgrass","FL(Leon)"
"Urochloa arrecta","African signalgrass","FL(Collier)"
"Urochloa deflexa","deflexed brachiaria","FL(Gadsden)"
"Urochloa distachya","tropical signalgrass","FL(Brevard, Broward, Charlotte, Collier, Indian River, Lee, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Pinellas)"
"Urochloa fusca","browntop signalgrass","FL(Brevard, Collier, Lee, Monroe, Volusia)"
"Urochloa maxima","guineagrass","FL(Alachua, Brevard, Broward, Charlotte, Collier, Columbia, DeSoto, Escambia, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Lee, Leon, Manatee, Marion, Martin, Miami-Dade, Monroe, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Volusia)"
"Urochloa mutica","para grass","FL(Brevard, Collier, DeSoto, Glades, Hardee, Hendry, Indian River, Lee, Manatee, Martin, Miami-Dade, Monroe, Palm Beach, Pinellas, Polk)"
"Urochloa piligera","wattle signalgrass","FL(Alachua, Escambia, Highlands, Hillsborough, Lake, Orange, Osceola, Polk, Seminole, Volusia)"
"Urochloa plantaginea","plantain signalgrass","FL(Broward, Escambia, Gadsden, Highlands, Hillsborough, Leon, Manatee, Miami-Dade, Palm Beach)"
"Urochloa platyphylla","broadleaf signalgrass","FL(Alachua, Escambia, Gadsden, Hernando, Highlands, Hillsborough, Jackson, Leon, Orange, Santa Rosa, Seminole, St. Johns)"
"Urochloa ramosa","browntop millet","FL(Alachua, Broward, Calhoun, Citrus, Collier, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Jackson, Lake, Lee, Leon, Liberty, Madison, Manatee, Marion, Miami-Dade, Monroe, Okaloosa, Osceola, Putnam, Santa Rosa, St. Johns, Wakulla, Walton)"
"Urochloa texana","Texas signalgrass","FL(Alachua, Calhoun, Clay, Dixie, Franklin, Gadsden, Highlands, Hillsborough, Jackson, Lake, Leon, Levy, Marion, Osceola, Polk, Seminole, Suwannee)"
"Urtica","nettle","FL(Alachua, Brevard, Charlotte, Citrus, Columbia, Duval, Gilchrist, Jackson, Lafayette, Lake, Leon, Levy, Manatee, Marion, Orange, Osceola, Pinellas, Polk, Seminole, St. Johns, Volusia)"
"Urtica chamaedryoides","heartleaf nettle","FL(Alachua, Brevard, Charlotte, Citrus, Columbia, Duval, Gilchrist, Jackson, Lafayette, Leon, Levy, Manatee, Marion, Orange, Osceola, Pinellas, Polk, Seminole, St. Johns, Volusia)"
"Urtica dioica","stinging nettle","FL(Alachua)"
"Urtica dioica ssp. dioica","stinging nettle","FL(Alachua)"
"Urtica urens","dwarf nettle","FL(Lake, Leon, Orange, St. Johns)"
"Utricularia","bladderwort","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Volusia, Wakulla, Walton, Washington)"
"Utricularia amethystina","Florida purple bladderwort","FL(Collier, Lee)"
"Utricularia cornuta","horned bladderwort","FL(Alachua, Bay, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Dixie, Escambia, Flagler, Franklin, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Osceola, Palm Beach, Pasco, Polk, Putnam, Santa Rosa, Sarasota, St. Lucie, Sumter, Taylor, Volusia, Wakulla, Walton, Washington)"
"Utricularia floridana","Florida yellow bladderwort","FL(Alachua, Bay, Clay, Franklin, Gadsden, Holmes, Jackson, Lake, Leon, Marion, Orange, Pasco, Pinellas, Putnam, Wakulla, Walton, Washington)"
"Utricularia foliosa","leafy bladderwort","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Clay, Collier, DeSoto, Dixie, Franklin, Gilchrist, Glades, Hendry, Hernando, Indian River, Jefferson, Lake, Lee, Leon, Levy, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Taylor, Volusia, Wakulla)"
"Utricularia gibba","humped bladderwort","FL(Alachua, Bay, Brevard, Broward, Charlotte, Clay, Collier, Dixie, Escambia, Franklin, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Taylor, Walton)"
"Utricularia inflata","swollen bladderwort","FL(Alachua, Baker, Bradford, Brevard, Charlotte, Citrus, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Taylor, Volusia, Walton, Washington)"
"Utricularia juncea","southern bladderwort","FL(Baker, Bay, Calhoun, Clay, Duval, Escambia, Flagler, Franklin, Gulf, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Liberty, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Polk, St. Johns, Volusia, Wakulla, Walton, Washington)"
"Utricularia olivacea","piedmont bladderwort","FL(Bay, Franklin, Leon, Putnam, Seminole, Wakulla)"
"Utricularia purpurea","eastern purple bladderwort","FL(Alachua, Bay, Brevard, Broward, Calhoun, Charlotte, Citrus, Collier, Columbia, Duval, Escambia, Franklin, Gulf, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Leon, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Putnam, Santa Rosa, Sarasota, St. Johns, Sumter, Taylor, Volusia, Wakulla, Walton, Washington)"
"Utricularia radiata","little floating bladderwort","FL(Alachua, Bay, Bradford, Calhoun, Collier, Dixie, Duval, Flagler, Franklin, Holmes, Jackson, Jefferson, Lake, Lee, Leon, Levy, Madison, Miami-Dade, Pasco, Seminole, St. Johns, Sumter, Taylor, Volusia, Wakulla, Washington)"
"Utricularia resupinata","lavender bladderwort","FL(Bay, Broward, Citrus, Clay, Collier, Columbia, Franklin, Gulf, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Liberty, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Orange, Osceola, Palm Beach, Pinellas, Polk, Putnam, Sumter, Volusia, Wakulla, Walton)"
"Utricularia simulans","fringed bladderwort","FL(Brevard, Broward, Charlotte, Collier, DeSoto, Highlands, Hillsborough, Lee, Manatee, Martin, Miami-Dade, Okeechobee, Osceola, Palm Beach, Pasco)"
"Utricularia striata","striped bladderwort","FL(Alachua, Baker, Bay, Bradford, Clay, Escambia, Leon, Taylor)"
"Utricularia subulata","zigzag bladderwort","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Taylor, Volusia, Wakulla, Walton)"
"Uvularia","bellwort","FL(Gadsden, Jackson, Leon, Liberty, Nassau, Walton, Washington)"
"Uvularia floridana","Florida bellwort","FL(Gadsden, Jackson, Leon, Nassau)"
"Uvularia perfoliata","perfoliate bellwort","FL(Gadsden, Leon)"
"Uvularia sessilifolia","sessileleaf bellwort","FL(Gadsden, Liberty, Walton, Washington)"
"Vaccaria","soapwort","FL(Miami-Dade)"
"Vaccaria hispanica","cow soapwort","FL(Miami-Dade)"
"Vaccinium","blueberry","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vaccinium arboreum","farkleberry","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Jackson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vaccinium corymbosum","highbush blueberry","FL(Marion)"
"Vaccinium darrowii","Darrow's blueberry","FL(Alachua, Bay, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, DeSoto, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Manatee, Marion, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vaccinium elliottii","Elliott's blueberry","FL(Marion)"
"Vaccinium myrsinites","shiny blueberry","FL(Alachua, Baker, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton)"
"Vaccinium stamineum","deerberry","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Vaccinium tenellum","small black blueberry","FL(Clay, St. Johns)"
"Vaccinium virgatum","smallflower blueberry","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Nassau, Okaloosa, Orange, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Vachellia","acacia","FL(Bay, Brevard, Broward, Citrus, Collier, Escambia, Franklin, Hendry, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Pasco, Pinellas, Polk, Sarasota, Volusia)"
"Vachellia choriophylla","cinnecord","FL(Miami-Dade, Monroe)"
"Vachellia cornigera","bullhorn wattle","FL(Pinellas)"
"Vachellia farnesiana","sweet acacia","FL(Bay, Brevard, Broward, Citrus, Collier, Escambia, Franklin, Hendry, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Pasco, Pinellas, Polk, Sarasota, Volusia)"
"Vachellia farnesiana var. pinetorum","pineland acacia","FL(Brevard, Broward, Citrus, Collier, Lee, Martin, Miami-Dade, Monroe, Pasco, Pinellas)"
"Vachellia macracantha","porknut","FL(Manatee, Miami-Dade, Monroe)"
"Vachellia sphaerocephala","bee wattle","FL(Collier, Miami-Dade)"
"Vachellia tortuosa","poponax","FL(Collier)"
"Valeriana","valerian","FL(Alachua, Brevard, Citrus, Columbia, Duval, Hernando, Highlands, Hillsborough, Lake, Manatee, Marion, Pasco, Polk, Seminole, Sumter, Volusia)"
"Valeriana scandens","Florida valerian","FL(Alachua, Brevard, Citrus, Columbia, Duval, Hernando, Highlands, Hillsborough, Lake, Manatee, Marion, Pasco, Polk, Seminole, Sumter, Volusia)"
"Valerianella","cornsalad","FL(Calhoun, Columbia, Escambia, Franklin, Gadsden, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Nassau, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington)"
"Valerianella radiata","beaked cornsalad","FL(Calhoun, Columbia, Escambia, Franklin, Gadsden, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Nassau, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington)"
"Vallesia","vallesia","FL(Monroe)"
"Vallesia antillana","tearshrub","FL(Monroe)"
"Vallisneria","eelgrass","FL(Alachua, Bay, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Franklin, Gilchrist, Glades, Hendry, Hernando, Jackson, Jefferson, Lake, Levy, Marion, Miami-Dade, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Wakulla, Walton)"
"Vallisneria americana","American eelgrass","FL(Alachua, Bay, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Franklin, Gilchrist, Glades, Hendry, Hernando, Jackson, Jefferson, Lake, Levy, Marion, Miami-Dade, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Wakulla, Walton)"
"Vanilla","vanilla","FL(Collier, Martin, Miami-Dade, Monroe)"
"Vanilla barbellata","wormvine orchid","FL(Miami-Dade, Monroe)"
"Vanilla dilloniana","leafless vanilla","FL(Miami-Dade, Monroe)"
"Vanilla inodora","scentless vanilla","FL(Martin)"
"Vanilla mexicana","Mexican vanilla","FL(Martin, Miami-Dade)"
"Vanilla phaeantha","leafy vanilla","FL(Collier, Miami-Dade)"
"Vanilla planifolia","vanilla","FL(Collier, Miami-Dade)"
"Vanilla pompona","West Indian vanilla","FL(Miami-Dade)"
"Veratrum","false hellebore","FL(Calhoun, Franklin, Gadsden, Leon, Liberty, Nassau, Osceola, Pasco, Polk, Santa Rosa, Wakulla, Walton)"
"Veratrum virginicum","Virginia bunchflower","FL(Calhoun, Franklin, Leon, Liberty, Nassau, Osceola, Pasco, Polk, Santa Rosa, Wakulla, Walton)"
"Veratrum woodii","Wood's bunchflower","FL(Gadsden, Liberty)"
"Verbascum","mullein","FL(Alachua, Bradford, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gulf, Hamilton, Hernando, Holmes, Jackson, Lake, Leon, Levy, Liberty, Madison, Marion, Nassau, Okaloosa, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sumter, Taylor, Wakulla, Walton, Washington)"
"Verbascum blattaria","moth mullein","FL(Columbia, Franklin, Hernando, Lake, Polk)"
"Verbascum thapsus","common mullein","FL(Alachua, Duval, Franklin, Gulf, Hamilton, Holmes, Jackson, Leon, Liberty, Madison, Marion, Nassau, Wakulla, Walton, Washington)"
"Verbascum virgatum","wand mullein","FL(Alachua, Bradford, Citrus, Clay, Dixie, Escambia, Franklin, Gulf, Hernando, Levy, Liberty, Marion, Okaloosa, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sumter, Taylor)"
"Verbena","vervain","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Verbena bracteata","bigbract verbena","FL(Franklin)"
